,restaurantname,pricerange,area,food,phone,addr,postcode,food quality,crowdedness,length of stay
0,saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,good,quiet,average
1,restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,excellent,quiet,average
2,pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,average,moderate,average
3,the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,average,quiet,long
4,loch fyne,moderate,centre,seafood,01223 362433,the little rose 37 trumpington street,c.b 2,average,empty,average
5,yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,good,moderate,short
6,sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,excellent,busy,long
7,saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,average,quiet,long
8,restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,good,moderate,long
9,the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,excellent,busy,average
10,nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,poor,moderate,average
11,peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,excellent,busy,average
12,rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,excellent,empty,average
13,pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,good,quiet,average
14,the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,average,moderate,short
15,royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,average,busy,average
16,grafton hotel restaurant,expensive,east,british,01223 241387,grafton hotel 619 newmarket road fen ditton,c.b 5,poor,moderate,long
17,dojo noodle bar,expensive,centre,asian oriental,01223 363471,40210 millers yard city centre,c.b 2,excellent,busy,long
18,cambridge lodge restaurant,expensive,west,european,01223 355166,cambridge lodge hotel 139 huntingdon road city centre,c.b 3,excellent,quiet,short
19,thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,poor,empty,short
20,stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,poor,busy,average
21,cote,expensive,centre,french,01223 311053,bridge street city centre,c.b 2,average,moderate,short
22,cotto,moderate,centre,british,01223 302010,183 east road city centre,c.b 1,good,empty,average
23,bangkok city,expensive,centre,thai,01223 354382,24 green street city centre,c.b 2,average,empty,average
24,frankie and bennys,expensive,south,italian,01223 412430,cambridge leisure park clifton way cherry hinton,c.b 1,good,busy,long
25,the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,average,quiet,long
26,eraina,expensive,centre,european,01223 368786,free school lane city centre,c.b 2,average,busy,average
27,curry garden,expensive,centre,asian oriental,01223 302330,106 regent street city centre,,average,empty,short
28,mahal of cambridge,cheap,centre,indian,01223 360409,3 - 5 millers yard mill lane,,good,quiet,average
29,golden wok,moderate,north,asian oriental,01223 350688,191 histon road chesterton,c.b 4,excellent,empty,short
