,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__penalty,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_lr__regularization,param_lr__C
0,0.7387382984161377,0.027281646070781946,0.0312966505686442,0.0017963047654687356,,{'lr__penalty': None},0.9471280276816609,0.946159169550173,0.9456055363321799,0.9462975778546713,0.0006292125350397375,1,False,
0,0.7221798102060953,0.0067869504357203495,0.030777613321940105,0.0014112575832049674,,{'lr__penalty': None},0.9468512110726643,0.9489273356401384,0.944083044982699,0.9466205305651673,0.0019843887582566442,1,False,
0,0.6974592208862305,0.0011250627080181754,0.030657450358072918,0.00534270099654589,,{'lr__penalty': None},0.9497577854671281,0.9465743944636679,0.9438062283737024,0.946712802768166,0.002431683313145013,1,False,
0,0.6984593868255615,0.007613984148487967,0.03166278203328451,0.002078457548341903,,{'lr__penalty': None},0.9469896193771626,0.9435294117647058,0.9453287197231834,0.945282583621684,0.0014130004919136146,1,False,
0,0.7092347145080566,0.007477133944562402,0.029572168986002605,0.0039101182942348255,,{'lr__penalty': None},0.9479584775086505,0.9486505190311418,0.9428373702422145,0.9464821222606689,0.0025926682940211605,1,False,
1,0.7120893796284994,0.008381757721781012,0.03238248825073242,0.002497269720583476,l2,"{'lr__C': 106.20472510184126, 'lr__penalty': 'l2'}",0.9519723183391003,0.9485121107266437,0.9450519031141869,0.9485121107266435,0.0028252476848710222,1,True,106.20472510184126
3,0.7054425875345866,0.003920623762830938,0.027830759684244793,0.002100355995943296,l2,"{'lr__C': 150.56268388995963, 'lr__penalty': 'l2'}",0.9496193771626298,0.9443598615916955,0.9450519031141869,0.9463437139561707,0.0023334105866485576,2,True,150.56268388995963
2,0.7066113154093424,0.007139182301805576,0.028218507766723633,0.004207307015456226,l2,"{'lr__C': 135.5667845969164, 'lr__penalty': 'l2'}",0.9486505190311418,0.9447750865051903,0.9450519031141869,0.9461591695501731,0.0017652711852095924,3,True,135.5667845969164
0,0.7177979946136475,0.0027745802522398883,0.032083352406819664,0.0042352940897664535,l2,"{'lr__C': 71.36551201046677, 'lr__penalty': 'l2'}",0.9472664359861591,0.9449134948096886,0.9421453287197232,0.9447750865051902,0.0020929727745722785,4,True,71.36551201046677
4,0.7041568756103516,0.006309528674049153,0.03134457270304362,0.0028482258042106163,l2,"{'lr__C': 38.68173244707804, 'lr__penalty': 'l2'}",0.9472664359861591,0.9444982698961938,0.9418685121107266,0.9445444059976932,0.0022039346551319164,5,True,38.68173244707804
