,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
0,0.21592124303181967,0.008072234841276879,0.03268146514892578,0.0020247346118215173,0.0002772098643281112,97,89,9,"{'tree__ccp_alpha': 0.0002772098643281112, 'tree__max_depth': 97, 'tree__max_leaf_nodes': 89, 'tree__min_samples_split': 9}",0.9709342560553633,0.9696885813148789,0.9667820069204153,0.9691349480968858,0.0017397654103773542,1,False
2,0.14473493893941244,0.0024476514750131307,0.03000648816426595,0.0027896694957127988,0,33,48,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 48, 'tree__max_depth': 33, 'tree__ccp_alpha': 0}",0.9608304498269896,0.9616608996539793,0.9591695501730104,0.9605536332179931,0.001035752909833611,1,True
4,0.18291076024373373,0.00781472376266445,0.031203349431355793,0.0020954496867649406,0.0007066376427286005,59,58,7,"{'tree__ccp_alpha': 0.0007066376427286005, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 58, 'tree__min_samples_split': 7}",0.965674740484429,0.9658131487889273,0.961522491349481,0.9643367935409458,0.0019908142108780846,2,False
1,0.1433075269063314,0.0008849141518123289,0.03224619229634603,0.0010135422221250853,0,45,42,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 42, 'tree__max_depth': 45, 'tree__ccp_alpha': 0}",0.9576470588235294,0.9582006920415225,0.9565397923875433,0.9574625144175317,0.0006905019398890608,2,True
2,0.17558844884236655,0.002639565991740892,0.03631893793741862,0.00764050020701598,0.0017489012354517598,39,83,9,"{'tree__ccp_alpha': 0.0017489012354517598, 'tree__max_depth': 39, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 9}",0.9515570934256056,0.951280276816609,0.9514186851211073,0.9514186851211073,0.00011300990739486084,3,False
0,0.1305239995320638,0.008167637478641774,0.026600360870361328,0.006589917361936285,0,79,28,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 28, 'tree__max_depth': 79, 'tree__ccp_alpha': 0}",0.946712802768166,0.9465743944636679,0.9431141868512111,0.9454671280276816,0.001664739889519608,3,True
1,0.11419884363810222,0.01793358814986326,0.03836870193481445,0.006698705204370628,1.0105801391244905e-06,61,17,7,"{'tree__ccp_alpha': 1.0105801391244905e-06, 'tree__max_depth': 61, 'tree__max_leaf_nodes': 17, 'tree__min_samples_split': 7}",0.9284429065743944,0.9248442906574394,0.9266435986159169,0.9266435986159168,0.001469128796132919,4,False
4,0.11678242683410645,0.011617694499961861,0.02604389190673828,0.007365583310075809,0,15,93,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 93, 'tree__max_depth': 15, 'tree__ccp_alpha': 0}",0.9298269896193772,0.9319031141868512,0.9252595155709342,0.9289965397923875,0.002775077876230254,4,True
3,0.20271897315979004,0.0036652762150765476,0.03949856758117676,0.012489504669306631,0.03494992931011142,97,80,3,"{'tree__ccp_alpha': 0.03494992931011142, 'tree__max_depth': 97, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 3}",0.7973702422145329,0.788235294117647,0.7879584775086506,0.7911880046136103,0.004372962624617415,5,False
3,0.10144694646199544,0.006380151075467474,0.021368980407714844,0.008119674673905551,0,34,15,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 15, 'tree__max_depth': 34, 'tree__ccp_alpha': 0}",0.9222145328719723,0.9215224913494809,0.9201384083044982,0.9212918108419839,0.0008631274248613607,5,True
