,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
0,0.2220915158589681,0.009387724965882051,0.029956897099812824,0.0009224094141706861,4.799817017166652e-05,95,93,2,"{'tree__ccp_alpha': 4.799817017166652e-05, 'tree__max_depth': 95, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 2}",0.9694117647058823,0.9694117647058823,0.9716262975778547,0.9701499423298731,0.0010439408072881243,1,False
2,0.2241061528523763,0.00562738883635806,0.02605470021565755,0.007375098248474792,0,68,96,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 68, 'tree__ccp_alpha': 0}",0.972318339100346,0.9685813148788928,0.9701038062283737,0.9703344867358709,0.0015343288718169211,1,True
2,0.20719480514526367,0.002209277492158021,0.023632526397705078,0.002881408649313865,1.3257761661133123e-06,58,93,9,"{'tree__ccp_alpha': 1.3257761661133123e-06, 'tree__max_depth': 58, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 9}",0.9701038062283737,0.9674740484429065,0.9703806228373703,0.9693194925028834,0.0013098103406300923,2,False
4,0.13819098472595215,0.010248621058860465,0.027073780695597332,0.0081038122454438,0,31,51,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 51, 'tree__max_depth': 31, 'tree__ccp_alpha': 0}",0.960553633217993,0.96,0.9586159169550174,0.9597231833910035,0.0008149260314950271,2,True
4,0.10001564025878906,0.006949833656402236,0.026487429936726887,0.007898645873193465,3.319084780578454e-05,32,17,9,"{'tree__ccp_alpha': 3.319084780578454e-05, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 17, 'tree__min_samples_split': 9}",0.9269204152249135,0.92719723183391,0.9274740484429066,0.92719723183391,0.00022601981478967637,3,False
1,0.13221526145935059,0.006679591035893048,0.032224814097086586,0.001378763907722031,0,73,34,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 34, 'tree__max_depth': 73, 'tree__ccp_alpha': 0}",0.9516955017301038,0.9534948096885814,0.9500346020761246,0.9517416378316033,0.0014130004919136144,3,True
3,0.17558995882670084,0.0024349711492419298,0.02614132563273112,0.007437503946863533,0.01842614375779691,98,59,3,"{'tree__ccp_alpha': 0.01842614375779691, 'tree__max_depth': 98, 'tree__max_leaf_nodes': 59, 'tree__min_samples_split': 3}",0.908235294117647,0.897993079584775,0.8982698961937716,0.9014994232987311,0.004764320422025591,4,False
0,0.10914182662963867,0.0008641053957854495,0.020833174387613933,0.00736563944220497,0,50,19,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 19, 'tree__max_depth': 50, 'tree__ccp_alpha': 0}",0.9337024221453287,0.9361937716262976,0.9312110726643599,0.9337024221453287,0.0020341783331071324,4,True
1,0.07727408409118652,0.0011258808091315017,0.03266755739847819,0.0010122492239014807,4.3630993419769664e-05,7,63,10,"{'tree__ccp_alpha': 4.3630993419769664e-05, 'tree__max_depth': 7, 'tree__max_leaf_nodes': 63, 'tree__min_samples_split': 10}",0.8386159169550172,0.8394463667820069,0.8419377162629758,0.84,0.001411493290959949,5,False
3,0.07481678326924641,0.007580565560844343,0.03140815099080404,0.0037830206559777264,0,6,73,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 73, 'tree__max_depth': 6, 'tree__ccp_alpha': 0}",0.8116262975778546,0.8149480968858132,0.8196539792387543,0.8154094579008073,0.003293484345573179,5,True
