,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
10,0.2012009620666504,0.0009495508336461863,0.037981112798055015,0.001480572981691774,0,51,100,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 51, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 6}",0.9712110726643599,0.9714878892733564,0.9703806228373703,0.9710265282583621,0.0004704977636533091,1,51,6,100,0.0
76,0.23484325408935547,0.005953879046744618,0.030905644098917644,0.0017112713962431077,0,81,100,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 81, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 9}",0.970795847750865,0.9716262975778547,0.9694117647058823,0.9706113033448673,0.0009134482063771079,2,81,9,100,0.0
103,0.23219005266825357,0.0018264296553999605,0.027237574259440105,0.001293975661740511,0,71,98,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 71, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 9}",0.970795847750865,0.9713494809688581,0.9689965397923875,0.9703806228373701,0.0010044540280081651,3,71,9,98,0.0
147,0.2254621982574463,0.0007231428746652523,0.029303948084513348,2.6429953810876036e-06,0,93,96,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 93, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 9}",0.9709342560553633,0.9712110726643599,0.9687197231833911,0.9702883506343714,0.001114929270919902,4,93,9,96,0.0
186,0.1790188948313395,0.004051067472030517,0.0303801695505778,0.00384241570978363,0,45,96,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 45, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 9}",0.9705190311418685,0.9709342560553633,0.9692733564013841,0.9702422145328721,0.0007057466454799563,5,45,9,96,0.0
36,0.2475740909576416,0.0014630928390055966,0.040477752685546875,0.00032347910238689,1.7531203880011864e-05,75,99,7,"{'tree__ccp_alpha': 1.7531203880011864e-05, 'tree__max_depth': 75, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 7}",0.970795847750865,0.9714878892733564,0.9684429065743945,0.9702422145328718,0.0013032938308489429,6,75,7,99,1.7531203880011864e-05
46,0.18993194897969565,0.00481362174862554,0.028243064880371094,0.0015359370830045713,0,46,94,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 3}",0.9705190311418685,0.9703806228373703,0.9698269896193772,0.9702422145328718,0.0002989961106531896,6,46,3,94,0.0
166,0.21941542625427246,0.0037701705638615024,0.02742910385131836,0.002642633774987136,0,65,90,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 2}",0.9706574394463667,0.970795847750865,0.9681660899653979,0.9698731257208766,0.0012083783948058898,8,65,2,90,0.0
195,0.21254523595174155,0.002445287636091158,0.029258171717325848,0.0008397160196595519,0,62,85,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 62, 'tree__max_leaf_nodes': 85, 'tree__min_samples_split': 4}",0.970242214532872,0.9705190311418685,0.9680276816608997,0.9695963091118801,0.0011149292709199021,9,62,4,85,0.0
181,0.17735830942789713,0.002931741338048311,0.027581214904785156,0.0015859343310983692,0,43,90,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 43, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 4}",0.9692733564013841,0.9695501730103806,0.9684429065743945,0.9690888119953863,0.0004704977636533091,10,43,4,90,0.0
