,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
11,0.06443452835083008,0.0018495067473704877,0.013267755508422852,0.0026488847995923756,0,62,96,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 62, 'tree__ccp_alpha': 0}",0.8623188405797102,0.886034255599473,0.8695652173913043,0.8726394378568291,0.009922813814400527,1,True
5,0.06111645698547363,0.0032301548891812432,0.009396950403849283,0.0012989503153641743,0,99,73,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 73, 'tree__max_depth': 99, 'tree__ccp_alpha': 0}",0.8649538866930171,0.8873517786561265,0.8656126482213439,0.8726394378568291,0.01040667159514518,1,True
3,0.06973886489868164,0.0031427645153569387,0.00821534792582194,0.0016477851751687824,0.0002819542561073231,76,88,2,"{'tree__ccp_alpha': 0.0002819542561073231, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 88, 'tree__min_samples_split': 2}",0.8715415019762845,0.8662714097496707,0.8715415019762845,0.8697848045674132,0.002484345300611466,1,False
10,0.05830566088358561,0.003494198558636719,0.009944836298624674,0.0044866379976963525,0,92,72,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 72, 'tree__max_depth': 92, 'tree__ccp_alpha': 0}",0.8642951251646904,0.8873517786561265,0.8662714097496707,0.8726394378568291,0.010434435108051553,1,True
18,0.06394513448079427,0.002300391923160388,0.013495286305745443,0.005997169714229815,0,89,91,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 89, 'tree__ccp_alpha': 0}",0.8610013175230566,0.8880105401844532,0.8689064558629777,0.8726394378568291,0.01133801549708001,1,True
21,0.060407559076944985,0.005977137218829934,0.009343624114990234,0.0007483655250545021,1.5050062297914888e-06,84,75,6,"{'tree__ccp_alpha': 1.5050062297914888e-06, 'tree__max_depth': 84, 'tree__max_leaf_nodes': 75, 'tree__min_samples_split': 6}",0.8715415019762845,0.8669301712779973,0.8669301712779973,0.8684672815107598,0.0021738021380350654,2,False
9,0.0553589661916097,0.0055585002035071366,0.012934684753417969,0.002248437360008125,5.788473576651497e-06,89,53,8,"{'tree__ccp_alpha': 5.788473576651497e-06, 'tree__max_depth': 89, 'tree__max_leaf_nodes': 53, 'tree__min_samples_split': 8}",0.8715415019762845,0.8669301712779973,0.8636363636363636,0.8673693456302152,0.003242165801544427,3,False
5,0.05470951398213705,0.0019169064928402577,0.00946370760599772,0.0020392712353717412,0.00016648092831409033,64,50,10,"{'tree__ccp_alpha': 0.00016648092831409033, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 50, 'tree__min_samples_split': 10}",0.8702239789196311,0.8603425559947299,0.8623188405797102,0.8642951251646904,0.004269262647172513,4,False
2,0.05641500155131022,0.0012265080759221293,0.008252461751302084,0.00012811286275201026,0,96,54,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 54, 'tree__max_depth': 96, 'tree__ccp_alpha': 0}",0.8675889328063241,0.8880105401844532,0.8610013175230566,0.8722002635046113,0.011498487010615777,5,True
4,0.05205829938252767,0.0045394049352938635,0.00994578997294108,0.003140648105272189,3.9452660529447335e-05,63,37,7,"{'tree__ccp_alpha': 3.9452660529447335e-05, 'tree__max_depth': 63, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 7}",0.8662714097496707,0.857707509881423,0.8649538866930171,0.862977602108037,0.003765135748678561,5,False
7,0.0641636848449707,0.0028791805954858918,0.006033420562744141,0.0044946993447523885,1.4284072717947689e-05,18,83,3,"{'tree__ccp_alpha': 1.4284072717947689e-05, 'tree__max_depth': 18, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 3}",0.8616600790513834,0.8596837944664032,0.8662714097496707,0.862538427755819,0.002760168003947417,6,False
8,0.06565578778584798,0.0016881507193045135,0.007991552352905273,0.00431406322545779,0,97,85,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 85, 'tree__max_depth': 97, 'tree__ccp_alpha': 0}",0.8590250329380764,0.8880105401844532,0.8689064558629777,0.8719806763285024,0.012031293396401167,6,True
4,0.05652213096618652,0.007596449840594298,0.0072405338287353516,0.005164646780918293,0,49,54,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 54, 'tree__max_depth': 49, 'tree__ccp_alpha': 0}",0.8662714097496707,0.8880105401844532,0.8610013175230566,0.8717610891523936,0.011689795041024305,7,True
0,0.06632773081461589,0.0020761088879846863,0.009358088175455729,0.0016417981195071412,0,93,92,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 92, 'tree__max_depth': 93, 'tree__ccp_alpha': 0}",0.8610013175230566,0.8880105401844532,0.8662714097496707,0.8717610891523936,0.011689795041024305,7,True
14,0.06081080436706543,0.003727079142550043,0.005071242650349935,0.0044883530007256665,0.002269652301684733,19,50,6,"{'tree__ccp_alpha': 0.002269652301684733, 'tree__max_depth': 19, 'tree__max_leaf_nodes': 50, 'tree__min_samples_split': 6}",0.8596837944664032,0.8544137022397892,0.8636363636363636,0.8592446201141853,0.003777920626720531,7,False
20,0.04361557960510254,0.008141824523637686,0.008768161137898764,0.007066496339117781,0.0017701298878781697,42,21,2,"{'tree__ccp_alpha': 0.0017701298878781697, 'tree__max_depth': 42, 'tree__max_leaf_nodes': 21, 'tree__min_samples_split': 2}",0.855072463768116,0.8458498023715415,0.8590250329380764,0.8533157663592447,0.005520336007894834,8,False
6,0.05682953198750814,0.0012067005555450327,0.004828453063964844,0.0034703508038314945,0,36,71,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 71, 'tree__max_depth': 36, 'tree__ccp_alpha': 0}",0.8596837944664032,0.8873517786561265,0.8656126482213439,0.8708827404479579,0.011894249068028828,9,True
21,0.06730326016743977,0.006798399174158138,0.00995620091756185,0.007062992300292968,0,60,94,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 94, 'tree__max_depth': 60, 'tree__ccp_alpha': 0}",0.8596837944664032,0.8866930171277997,0.8662714097496707,0.8708827404479579,0.011498487010615725,9,True
19,0.048365116119384766,0.006102208879899947,0.010754108428955078,0.0038271107213081884,8.616142882583552e-05,12,73,6,"{'tree__ccp_alpha': 8.616142882583552e-05, 'tree__max_depth': 12, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 6}",0.8372859025032938,0.839262187088274,0.8610013175230566,0.8458498023715415,0.010744075382279363,9,False
16,0.059594154357910156,0.0012908185910981025,0.00949422518412272,0.0007787349453009282,0.007737796524785454,38,73,10,"{'tree__ccp_alpha': 0.007737796524785454, 'tree__max_depth': 38, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 10}",0.8386034255599473,0.8399209486166008,0.8451910408432147,0.8412384716732543,0.0028461750981149917,10,False
13,0.05862736701965332,0.006127093420139911,0.01127473513285319,0.001976042336851719,0,23,66,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 66, 'tree__max_depth': 23, 'tree__ccp_alpha': 0}",0.8629776021080369,0.8801054018445322,0.8662714097496707,0.8697848045674132,0.007420617149194446,11,True
17,0.043680429458618164,0.007352490209604279,0.0076741377512613935,0.005725779422461293,0.010777466233867147,24,27,10,"{'tree__ccp_alpha': 0.010777466233867147, 'tree__max_depth': 24, 'tree__max_leaf_nodes': 27, 'tree__min_samples_split': 10}",0.8306982872200264,0.8221343873517787,0.8359683794466403,0.8296003513394817,0.005700814662163855,11,False
7,0.051901022593180336,0.0013917550448920373,0.007192055384318034,0.0034723181909790232,0,24,46,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 46, 'tree__max_depth': 24, 'tree__ccp_alpha': 0}",0.8642951251646904,0.8820816864295126,0.8570487483530962,0.8678085199824331,0.010517285915527506,12,True
6,0.043747504552205406,0.0015540116930066906,0.008259455362955729,0.002050363752260512,2.9377324381298218e-06,99,12,9,"{'tree__ccp_alpha': 2.9377324381298218e-06, 'tree__max_depth': 99, 'tree__max_leaf_nodes': 12, 'tree__min_samples_split': 9}",0.8306982872200264,0.8221343873517787,0.8287220026350461,0.8271848924022839,0.0036612498903234626,12,False
23,0.04732195536295573,0.001166336692559645,0.006002664566040039,0.004244524820951131,0,25,33,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 33, 'tree__max_depth': 25, 'tree__ccp_alpha': 0}",0.857707509881423,0.8761528326745718,0.8563899868247694,0.8634167764602547,0.00902179999304967,13,True
