,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
7,0.18139052391052246,0.005478808621628325,0.025747140248616535,0.0071870819750707755,0,45,96,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 45, 'tree__ccp_alpha': 0}",0.9687197231833911,0.9703806228373703,0.9674740484429065,0.9688581314878894,0.001190633254954021,1,True
5,0.1528172492980957,0.0072386077943628994,0.029068390528361004,0.0023589347262157607,7.935666858273589e-05,53,35,7,"{'tree__ccp_alpha': 7.935666858273589e-05, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 35, 'tree__min_samples_split': 7}",0.9521107266435986,0.95280276816609,0.9540484429065744,0.9529873125720877,0.0008017599629519179,1,False
4,0.13689661026000977,0.004518759487747407,0.02663898468017578,0.006582418445234364,0.004117639204456255,19,91,6,"{'tree__ccp_alpha': 0.004117639204456255, 'tree__max_depth': 19, 'tree__max_leaf_nodes': 91, 'tree__min_samples_split': 6}",0.9305190311418685,0.9317647058823529,0.9321799307958477,0.9314878892733564,0.0007057466454799563,2,False
8,0.16013018290201822,0.0046431416111932956,0.021019379297892254,0.007610941093039952,0,34,68,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 68, 'tree__max_depth': 34, 'tree__ccp_alpha': 0}",0.9623529411764706,0.9638754325259515,0.9597231833910035,0.9619838523644751,0.0017151215958884365,2,True
9,0.12921682993570963,0.00571015359401939,0.020833333333333332,0.007365527050608951,0.00491796539027715,26,37,7,"{'tree__ccp_alpha': 0.00491796539027715, 'tree__max_depth': 26, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 7}",0.928166089965398,0.9253979238754325,0.9321799307958477,0.9285813148788927,0.002784266900966926,3,False
0,0.15004650751749674,0.006575013096620638,0.02621142069498698,0.007488878321912367,0,36,40,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 40, 'tree__max_depth': 36, 'tree__ccp_alpha': 0}",0.9561245674740484,0.9554325259515571,0.9534948096885814,0.9550173010380624,0.0011130185081259048,3,True
2,0.12036013603210449,0.007717754606001167,0.026159127553304035,0.007435549309224077,0,24,31,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 31, 'tree__max_depth': 24, 'tree__ccp_alpha': 0}",0.9478200692041523,0.9469896193771626,0.9418685121107266,0.9455594002306805,0.0026317805207754087,4,True
0,0.23088884353637695,0.004710848436754293,0.025693496068318684,0.007103229339718099,0.060989201171034,78,94,9,"{'tree__ccp_alpha': 0.060989201171034, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 9}",0.7175086505190311,0.7240138408304498,0.7136332179930795,0.7183852364475202,0.004282961186722114,4,False
3,0.21179835001627603,0.006381992543368669,0.02605748176574707,0.007358506903710559,0.05542485877629776,56,100,6,"{'tree__ccp_alpha': 0.05542485877629776, 'tree__max_depth': 56, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 6}",0.7175086505190311,0.7240138408304498,0.7136332179930795,0.7183852364475202,0.004282961186722114,4,False
4,0.11977847417195638,0.006931873873315162,0.032026211420694985,0.0008932218629196246,0,52,28,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 28, 'tree__max_depth': 52, 'tree__ccp_alpha': 0}",0.9453287197231834,0.946712802768166,0.9422837370242214,0.9447750865051904,0.0018500519174868303,5,True
