,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5,0.21471476554870605,0.005197259869942687,0.023398637771606445,0.0019460248850497346,2.472040211601633e-06,60,94,3,"{'tree__ccp_alpha': 2.472040211601633e-06, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 3}",0.9720415224913495,0.9683044982698962,0.971764705882353,0.9707035755478661,0.0017001638544579811,1
7,0.2183070182800293,0.002644170886999236,0.029163678487141926,0.001159384490706034,2.1493513708439118e-05,92,85,5,"{'tree__ccp_alpha': 2.1493513708439118e-05, 'tree__max_depth': 92, 'tree__max_leaf_nodes': 85, 'tree__min_samples_split': 5}",0.970795847750865,0.9684429065743945,0.970795847750865,0.9700115340253749,0.0011091871077435894,2
1,0.13957015673319498,0.0026534034901436313,0.028795242309570312,0.009904907352054784,1.547547042001691e-05,22,94,9,"{'tree__ccp_alpha': 1.547547042001691e-05, 'tree__max_depth': 22, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 9}",0.9543252595155709,0.9494809688581315,0.9525259515570934,0.9521107266435985,0.0019993493591714223,3
2,0.146044651667277,0.0043572121931912105,0.028792460759480793,0.002062711608213736,0.0015004557294072335,29,71,4,"{'tree__ccp_alpha': 0.0015004557294072335, 'tree__max_depth': 29, 'tree__max_leaf_nodes': 71, 'tree__min_samples_split': 4}",0.9525259515570934,0.946712802768166,0.9511418685121107,0.9501268742791235,0.0024793594173092397,4
9,0.09855333964029948,0.007156305065961993,0.0275423526763916,0.007703423440106811,0.00789455047339876,13,69,7,"{'tree__ccp_alpha': 0.00789455047339876, 'tree__max_depth': 13, 'tree__max_leaf_nodes': 69, 'tree__min_samples_split': 7}",0.9182006920415224,0.9137716262975778,0.9193079584775087,0.9170934256055364,0.002391968885225534,5
4,0.08302394549051921,0.003334610954650451,0.03079644838968913,0.0018260431120820687,3.964716056615821e-06,9,16,9,"{'tree__ccp_alpha': 3.964716056615821e-06, 'tree__max_depth': 9, 'tree__max_leaf_nodes': 16, 'tree__min_samples_split': 9}",0.8741868512110726,0.8689273356401384,0.8755709342560554,0.8728950403690888,0.0028619261673395063,6
3,0.15374994277954102,0.005123621548015232,0.026118040084838867,0.0009165967674014771,0.039034680365208685,27,96,9,"{'tree__ccp_alpha': 0.039034680365208685, 'tree__max_depth': 27, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 9}",0.7925259515570934,0.7887889273356401,0.7987543252595156,0.793356401384083,0.004110516928696924,7
8,0.20409138997395834,0.0011293062435540002,0.030263821283976238,0.0031675769634521332,0.05771007001499068,56,96,5,"{'tree__ccp_alpha': 0.05771007001499068, 'tree__max_depth': 56, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 5}",0.7172318339100346,0.7162629757785467,0.7226297577854671,0.7187081891580162,0.0028010351532476133,8
0,0.05542349815368652,0.007075087594953886,0.032441933949788414,0.0008625016610109376,0.00024161755418851004,76,2,10,"{'tree__ccp_alpha': 0.00024161755418851004, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 2, 'tree__min_samples_split': 10}",0.5259515570934256,0.5258131487889274,0.5260899653979239,0.5259515570934256,0.00011300990739481552,9
6,0.2211002508799235,0.012919586530174032,0.029932339986165363,0.004347220303678988,9.894084530564962,64,84,10,"{'tree__ccp_alpha': 9.894084530564962, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 10}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,10
