,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
196,0.23254593213399252,0.005616266041667912,0.02802451451619466,0.0012590921254407167,5.9052777983469135e-06,73,99,10,"{'tree__ccp_alpha': 5.9052777983469135e-06, 'tree__max_depth': 73, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 10}",0.9698269896193772,0.9714878892733564,0.9714878892733564,0.9709342560553633,0.000782955605466054,1,73,10,99,5.9052777983469135e-06
130,0.24901111920674643,0.01229555159758421,0.03066261609395345,0.005000528250833486,9.031685206964604e-06,69,97,2,"{'tree__ccp_alpha': 9.031685206964604e-06, 'tree__max_depth': 69, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 2}",0.9698269896193772,0.9713494809688581,0.9713494809688581,0.9708419838523644,0.0007177093050105364,2,69,2,97,9.031685206964604e-06
24,0.22352019945780435,0.004275630092077922,0.030853668848673504,0.0005917370887699667,0,85,88,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 85, 'tree__max_leaf_nodes': 88, 'tree__min_samples_split': 9}",0.9694117647058823,0.9706574394463667,0.9719031141868512,0.9706574394463668,0.0010170891665535662,3,85,9,88,0.0
8,0.22062857945760092,0.010108703698680029,0.029238303502400715,0.0022810349754432226,2.3505242514371704e-06,59,87,6,"{'tree__ccp_alpha': 2.3505242514371704e-06, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 87, 'tree__min_samples_split': 6}",0.9691349480968858,0.9698269896193772,0.9716262975778547,0.9701960784313726,0.0010500398317638752,4,59,6,87,2.3505242514371704e-06
127,0.25587034225463867,0.028562633671357314,0.03663221995035807,0.006319628403834274,0,65,86,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 9}",0.9687197231833911,0.970242214532872,0.9714878892733564,0.9701499423298731,0.0011319810054334473,5,65,9,86,0.0
156,0.2028512159983317,0.003714272800114738,0.0319968064626058,0.00564613179354405,0,57,84,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 57, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 3}",0.9688581314878892,0.9699653979238755,0.9714878892733564,0.9701038062283738,0.00107804580812438,6,57,3,84,0.0
145,0.21827292442321777,0.0035930386892600663,0.027317206064860027,0.005385278216266047,0,91,84,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 91, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 4}",0.9683044982698962,0.9701038062283737,0.9714878892733564,0.9699653979238754,0.0013032938308489546,7,91,4,84,0.0
25,0.2118360996246338,0.00853439275337648,0.029739777247111004,0.004922848747928774,0,57,92,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 57, 'tree__max_leaf_nodes': 92, 'tree__min_samples_split': 7}",0.9687197231833911,0.9695501730103806,0.9716262975778547,0.9699653979238754,0.0012223890472425971,7,57,7,92,0.0
170,0.19731696446736655,0.0035390548995420912,0.029700756072998047,0.0013226031234193248,0,53,94,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 2}",0.9689965397923875,0.9695501730103806,0.9712110726643599,0.9699192618223759,0.0009409955273066545,9,53,2,94,0.0
197,0.22547109921773276,0.003975233718043644,0.030104557673136394,0.0005602604723701802,0.0003888401279928802,88,94,10,"{'tree__ccp_alpha': 0.0003888401279928802, 'tree__max_depth': 88, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 10}",0.9687197231833911,0.9701038062283737,0.9705190311418685,0.9697808535178778,0.0007692425375101582,10,88,10,94,0.0003888401279928802
51,0.21057915687561035,0.004007499975647145,0.0313260555267334,0.0034098014100131507,0,60,83,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 4}",0.9684429065743945,0.9698269896193772,0.9710726643598616,0.9697808535178778,0.001074089663374662,10,60,4,83,0.0
155,0.21030410130818686,0.011997023631174318,0.026598691940307617,0.0028770240589212443,0,54,90,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 54, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 3}",0.9685813148788928,0.9692733564013841,0.9713494809688581,0.9697347174163783,0.0011762444091332508,12,54,3,90,0.0
90,0.21615052223205566,0.0031501442043109645,0.03231978416442871,0.00020840029664572057,0,67,83,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 67, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 5}",0.9683044982698962,0.9699653979238755,0.9705190311418685,0.9695963091118801,0.0009409955273066544,13,67,5,83,0.0
193,0.21562584241231283,0.003915499008000949,0.02896745999654134,0.0010432256659232784,0,70,80,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 7}",0.9677508650519031,0.9694117647058823,0.9705190311418685,0.9692272202998846,0.0011376081205017859,14,70,7,80,0.0
114,0.22561168670654297,0.006804682366307984,0.030625104904174805,0.0018436095939090436,0,79,80,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 4}",0.9676124567474048,0.9695501730103806,0.9705190311418685,0.9692272202998846,0.001208378394805911,14,79,4,80,0.0
187,0.19189071655273438,0.0029705232590209237,0.028537591298421223,0.00165345217652142,0,51,82,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 51, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 9}",0.9677508650519031,0.9689965397923875,0.9703806228373703,0.9690426758938869,0.001074089663374662,16,51,9,82,0.0
46,0.1898650328318278,0.002104606497684575,0.03159523010253906,0.0024133551870665344,0,52,82,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 52, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 3}",0.9676124567474048,0.9689965397923875,0.9705190311418685,0.9690426758938869,0.0011870523949498411,16,52,3,82,0.0
84,0.23778152465820312,0.008150040456830505,0.03442231814066569,0.0035450054496740224,0,83,78,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 83, 'tree__max_leaf_nodes': 78, 'tree__min_samples_split': 10}",0.9673356401384083,0.9691349480968858,0.9705190311418685,0.9689965397923875,0.0013032938308489546,18,83,10,78,0.0
52,0.19370031356811523,0.0014917115761960234,0.02817384401957194,0.0005370590873415868,1.167676684302702e-06,50,95,9,"{'tree__ccp_alpha': 1.167676684302702e-06, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 9}",0.9674740484429065,0.9683044982698962,0.9703806228373703,0.968719723183391,0.0012223890472426349,19,50,9,95,1.167676684302702e-06
103,0.21446704864501953,0.0056451905575265,0.031457742055257164,0.0022872684145968003,0,70,74,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 3}",0.96719723183391,0.9688581314878892,0.9698269896193772,0.9686274509803923,0.001085914860063655,20,70,3,74,0.0
176,0.1826199690500895,0.0045340014876959584,0.03187354405721029,0.002408579570586148,0,47,87,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 87, 'tree__min_samples_split': 2}",0.9678892733564014,0.9677508650519031,0.9701038062283737,0.9685813148788928,0.0010780458081243562,21,47,2,87,0.0
118,0.21479455629984537,0.004483199033004092,0.03524470329284668,0.004761309989769562,0,75,72,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 75, 'tree__max_leaf_nodes': 72, 'tree__min_samples_split': 7}",0.9670588235294117,0.9689965397923875,0.9696885813148789,0.9685813148788928,0.0011130185081259418,21,75,7,72,0.0
163,0.19982202847798666,0.014051767980561484,0.03452754020690918,0.004875660576078068,0,47,85,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 85, 'tree__min_samples_split': 6}",0.9677508650519031,0.9678892733564014,0.9699653979238755,0.9685351787773934,0.0010128949665559682,23,47,6,85,0.0
26,0.19420472780863443,0.0033019077642165375,0.030176798502604168,0.0002877344052430732,0,50,86,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 9}",0.9667820069204153,0.9681660899653979,0.9703806228373703,0.9684429065743944,0.0014821110407574544,24,50,9,86,0.0
122,0.20766218503316244,0.01099796019540341,0.032368103663126625,0.0034237893957989245,0,50,73,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 3}",0.9662283737024221,0.9689965397923875,0.9694117647058823,0.9682122260668974,0.0014130004919136012,25,50,3,73,0.0
159,0.20184890429178873,0.006772345669870198,0.0339818000793457,0.004823610274384536,0,49,65,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 65, 'tree__min_samples_split': 4}",0.9660899653979239,0.9680276816608997,0.9685813148788928,0.9675663206459054,0.0010681279725757984,26,49,4,65,0.0
