,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__min_samples_split,param_tree__max_leaf_nodes,param_tree__max_depth,param_tree__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6,0.21640117963155112,0.0022325814263377134,0.026746511459350586,0.007911512971855815,3,84,73,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 84, 'tree__max_depth': 73, 'tree__ccp_alpha': 0}",0.9719031141868512,0.9696885813148789,0.9701038062283737,0.9705651672433678,0.0009611380233448323,1
7,0.14057024319966635,0.0009822410534774122,0.021830638249715168,0.006781123743427524,8,73,26,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 73, 'tree__max_depth': 26, 'tree__ccp_alpha': 0}",0.9590311418685121,0.9576470588235294,0.9559861591695502,0.9575547866205305,0.001244820075038703,2
1,0.13744465510050455,0.014064112066715642,0.026925961176554363,0.008038733473224478,4,79,21,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 79, 'tree__max_depth': 21, 'tree__ccp_alpha': 0}",0.9516955017301038,0.9515570934256056,0.947681660899654,0.950311418685121,0.001860377868849439,3
8,0.1197644869486491,0.007454998871367911,0.022308905919392902,0.007895991679878235,6,49,20,0,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 49, 'tree__max_depth': 20, 'tree__ccp_alpha': 0}",0.9485121107266437,0.9494809688581315,0.9454671280276816,0.9478200692041523,0.00171015021848682,4
3,0.1263305346171061,0.0016211471612988537,0.0242001215616862,0.006230974932050248,4,99,18,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 18, 'tree__ccp_alpha': 0}",0.9451903114186851,0.9456055363321799,0.9404844290657439,0.943760092272203,0.0023224383757607,5
2,0.10024801890055339,0.00813292488160092,0.033136844635009766,0.001624939384425499,10,17,67,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 17, 'tree__max_depth': 67, 'tree__ccp_alpha': 0}",0.9299653979238754,0.9298269896193772,0.9241522491349481,0.9279815455594003,0.002708310979735031,6
5,0.09398579597473145,0.00027564040644650575,0.03126374880472819,9.907687340504163e-06,10,16,15,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 16, 'tree__max_depth': 15, 'tree__ccp_alpha': 0}",0.9260899653979239,0.9253979238754325,0.9219377162629758,0.9244752018454441,0.001816380132413312,7
0,0.09072677294413249,0.006159427525667543,0.02797985076904297,0.009457934688156847,6,14,47,0,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 14, 'tree__max_depth': 47, 'tree__ccp_alpha': 0}",0.9180622837370243,0.9175086505190312,0.913356401384083,0.9163091118800462,0.0021000796635277847,8
4,0.08046921094258626,0.002959226466521957,0.021726210912068684,0.007112551377691985,8,18,5,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 18, 'tree__max_depth': 5, 'tree__ccp_alpha': 0}",0.7965397923875432,0.7975086505190312,0.7861591695501731,0.7934025374855825,0.005137084504238161,9
9,0.06060568491617838,0.0013680503959337981,0.027209758758544922,0.00590341808273539,10,2,65,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 2, 'tree__max_depth': 65, 'tree__ccp_alpha': 0}",0.5260899653979239,0.5259515570934256,0.5258131487889274,0.5259515570934256,0.00011300990739481552,10
