,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
4,0.2405855655670166,0.004326882434439409,0.029793739318847656,0.0002729786186415719,0,88,95,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 95, 'tree__max_depth': 88, 'tree__ccp_alpha': 0}",0.9694117647058823,0.9692733564013841,0.9721799307958477,0.9702883506343714,0.0013387421571900242,1,True
11,0.24654404322306314,0.001988634341020961,0.029930750528971355,0.00028994348193054834,3.2650933881007288e-06,86,97,5,"{'tree__ccp_alpha': 3.2650933881007288e-06, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 5}",0.9701038062283737,0.9689965397923875,0.9724567474048443,0.9705190311418685,0.0014428139119826691,1,False
21,0.2237830956776937,0.003796138073300186,0.02856922149658203,0.00042006638302407033,0,65,89,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 89, 'tree__max_depth': 65, 'tree__ccp_alpha': 0}",0.9691349480968858,0.9689965397923875,0.971764705882353,0.9699653979238754,0.001273556977332634,2,True
32,0.24030264218648276,0.004218549315852904,0.031981865564982094,0.0022416658341252735,1.4609613976615726e-05,70,89,9,"{'tree__ccp_alpha': 1.4609613976615726e-05, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 89, 'tree__min_samples_split': 9}",0.9699653979238755,0.9681660899653979,0.9713494809688581,0.9698269896193771,0.0013032938308489587,2,False
13,0.20566113789876303,0.006139066996015361,0.03914324442545573,0.007482393553924349,1.0402659929794694e-06,45,98,9,"{'tree__ccp_alpha': 1.0402659929794694e-06, 'tree__max_depth': 45, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 9}",0.9689965397923875,0.9669204152249135,0.970242214532872,0.968719723183391,0.0013701723095656411,3,False
7,0.21987835566202799,0.004148916163154069,0.03078452746073405,0.00130576882760924,0,58,91,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 58, 'tree__ccp_alpha': 0}",0.9688581314878892,0.9685813148788928,0.9720415224913495,0.9698269896193773,0.001569983808735723,3,True
22,0.2231446901957194,0.005796126472508276,0.03264570236206055,0.0031751433336906923,4.599352362378229e-05,96,82,7,"{'tree__ccp_alpha': 4.599352362378229e-05, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 7}",0.9681660899653979,0.9680276816608997,0.9689965397923875,0.9683967704728951,0.0004278486041751104,4,False
29,0.20399928092956543,0.0020936847854951487,0.029506842295328777,0.0003929790276310107,0,53,88,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 88, 'tree__max_depth': 53, 'tree__ccp_alpha': 0}",0.9677508650519031,0.9691349480968858,0.9713494809688581,0.9694117647058823,0.0014821110407574475,4,True
41,0.20818495750427246,0.007245907536766854,0.031062761942545574,0.0006512482613823355,0,52,84,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 84, 'tree__max_depth': 52, 'tree__ccp_alpha': 0}",0.9683044982698962,0.9681660899653979,0.9710726643598616,0.9691810841983853,0.0013387421571900524,5,True
36,0.21335299809773764,0.009380165391122732,0.03211808204650879,0.0015031551685227918,4.5249209058134526e-05,95,70,6,"{'tree__ccp_alpha': 4.5249209058134526e-05, 'tree__max_depth': 95, 'tree__max_leaf_nodes': 70, 'tree__min_samples_split': 6}",0.9670588235294117,0.9669204152249135,0.9674740484429065,0.9671510957324104,0.00023524888182664726,5,False
