,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__min_samples_split,param_tree__max_leaf_nodes,param_tree__max_depth,param_tree__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
288,0.23535426457722983,0.0029850414467653143,0.02802697817484538,0.00028517641703185815,8,99,85,6.18515813796726e-05,"{'tree__ccp_alpha': 6.18515813796726e-05, 'tree__max_depth': 85, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 8}",0.9696885813148789,0.9695501730103806,0.9750865051903114,0.971441753171857,0.0025778482204749983,1,True
42,0.2128919760386149,0.002979977185673528,0.028003533681233723,0.0004287739388508286,5,100,59,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 59, 'tree__ccp_alpha': 0}",0.9742560553633218,0.970795847750865,0.9725951557093425,0.9725490196078431,0.0014130004919136133,1,False
341,0.2481238842010498,0.00622682455548449,0.0321044127146403,0.003282230985654796,3,100,67,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 67, 'tree__ccp_alpha': 0}",0.9743944636678201,0.9706574394463667,0.9724567474048443,0.9725028835063437,0.0015259825059784704,2,False
63,0.21553707122802734,0.00044711474658082594,0.026015679041544598,0.0033974391609105526,10,95,59,7.474454678095334e-06,"{'tree__ccp_alpha': 7.474454678095334e-06, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 10}",0.9696885813148789,0.9701038062283737,0.9743944636678201,0.9713956170703576,0.0021272695517229384,2,True
405,0.23720383644104004,0.004276603704720321,0.028314590454101562,0.0006756826558549582,4,99,86,9.564932860870078e-05,"{'tree__ccp_alpha': 9.564932860870078e-05, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 4}",0.9695501730103806,0.9695501730103806,0.9748096885813149,0.9713033448673588,0.0024793594173092496,3,True
204,0.20122973124186197,0.0034401316140701436,0.02354852358500163,0.006973285813092691,7,95,55,0.00017043576161778978,"{'tree__ccp_alpha': 0.00017043576161778978, 'tree__max_depth': 55, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 7}",0.9691349480968858,0.9705190311418685,0.9742560553633218,0.9713033448673588,0.0021629911270553276,3,True
394,0.2134842872619629,0.0039101874276027465,0.0265042781829834,0.003436253564043668,8,98,58,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 58, 'tree__ccp_alpha': 0}",0.9742560553633218,0.9705190311418685,0.9724567474048443,0.9724106113033449,0.0015259825059784256,3,False
201,0.23987197875976562,0.008807763303134309,0.029641469319661457,0.0005622466287843827,2,100,80,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 80, 'tree__ccp_alpha': 0}",0.9745328719723183,0.9706574394463667,0.9719031141868512,0.9723644752018453,0.0016154225051913883,4,False
29,0.24029246966044107,0.004412720951600641,0.029212395350138348,0.00021632176648182243,4,97,73,1.488964020612909e-06,"{'tree__ccp_alpha': 1.488964020612909e-06, 'tree__max_depth': 73, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 4}",0.9698269896193772,0.9696885813148789,0.9742560553633218,0.9712572087658593,0.0021212574731391347,5,True
101,0.20883051554361978,0.0032473238917764525,0.02914261817932129,0.004873090691203397,8,92,57,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 92, 'tree__max_depth': 57, 'tree__ccp_alpha': 0}",0.9739792387543252,0.9703806228373703,0.972318339100346,0.9722260668973473,0.0014705769273826144,5,False
482,0.2269134521484375,0.008669147900561605,0.02777520815531413,0.007754584428557612,8,98,79,1.5071659459949596e-06,"{'tree__ccp_alpha': 1.5071659459949596e-06, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 8}",0.9699653979238755,0.9695501730103806,0.9742560553633218,0.9712572087658593,0.002127269551722916,5,True
239,0.19680388768513998,0.0024434334744934355,0.02957606315612793,0.001192137971661611,6,99,50,0,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 50, 'tree__ccp_alpha': 0}",0.9735640138408305,0.970242214532872,0.9727335640138408,0.9721799307958477,0.001411493290959949,6,False
272,0.24362103144327799,0.010188301840043731,0.030819098154703777,0.0018678797165034937,2,100,95,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 95, 'tree__ccp_alpha': 0}",0.9745328719723183,0.9701038062283737,0.9719031141868512,0.9721799307958477,0.0018187223385861167,6,False
244,0.20070441563924155,0.0012077180819298195,0.02790689468383789,0.003778971351981146,5,96,51,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 51, 'tree__ccp_alpha': 0}",0.9737024221453288,0.9703806228373703,0.9724567474048443,0.9721799307958477,0.0013701723095656411,6,False
333,0.22768123944600424,0.0013796581787681357,0.02845319112141927,0.0004188990838651348,4,90,78,1.5357758475824657e-05,"{'tree__ccp_alpha': 1.5357758475824657e-05, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 4}",0.9701038062283737,0.9694117647058823,0.9739792387543252,0.9711649365628604,0.0020099673274087265,7,True
473,0.22071568171183267,0.0038160651969643016,0.03179192543029785,0.0007526228687407758,6,94,89,2.0758568704599465e-05,"{'tree__ccp_alpha': 2.0758568704599465e-05, 'tree__max_depth': 89, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 6}",0.9695501730103806,0.9696885813148789,0.9741176470588235,0.971118800461361,0.0021212574731391347,8,True
369,0.21993501981099448,0.0017035908942503058,0.028393983840942383,0.0007571848516808556,2,96,60,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 60, 'tree__ccp_alpha': 0}",0.9737024221453288,0.9701038062283737,0.972318339100346,0.9720415224913496,0.0014821110407574958,9,False
475,0.19683567682902017,0.0023033304260807646,0.027985890706380207,0.00041866765626775364,5,95,52,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 95, 'tree__max_depth': 52, 'tree__ccp_alpha': 0}",0.9734256055363322,0.970242214532872,0.9724567474048443,0.9720415224913496,0.0013323671583108402,9,False
13,0.2233858903249105,0.00011684640270713531,0.02830616633097331,0.0001896359989456068,5,96,66,2.4304969188035836e-05,"{'tree__ccp_alpha': 2.4304969188035836e-05, 'tree__max_depth': 66, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 5}",0.9695501730103806,0.9694117647058823,0.9742560553633218,0.9710726643598616,0.0022517064529481135,9,True
495,0.21527250607808432,0.0029187728178096672,0.030727704366048176,0.0007525082938085414,2,88,66,4.998295273483602e-06,"{'tree__ccp_alpha': 4.998295273483602e-06, 'tree__max_depth': 66, 'tree__max_leaf_nodes': 88, 'tree__min_samples_split': 2}",0.9699653979238755,0.9691349480968858,0.9737024221453288,0.9709342560553633,0.001986532885039082,10,True
305,0.23618618647257486,0.006451383028257586,0.026821136474609375,0.003981471450159602,3,97,81,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 97, 'tree__max_depth': 81, 'tree__ccp_alpha': 0}",0.9741176470588235,0.9699653979238755,0.9719031141868512,0.9719953863898501,0.001696403811843141,11,False
157,0.2213751475016276,0.007616054326910364,0.02610301971435547,0.0032855610564991662,4,90,57,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 90, 'tree__max_depth': 57, 'tree__ccp_alpha': 0}",0.9737024221453288,0.9701038062283737,0.9721799307958477,0.9719953863898501,0.001474912790140357,11,False
103,0.20596067110697427,0.006563421810093651,0.029165903727213543,0.0010812458651182546,8,92,53,1.3256691015524257e-05,"{'tree__ccp_alpha': 1.3256691015524257e-05, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 92, 'tree__min_samples_split': 8}",0.9691349480968858,0.9696885813148789,0.9738408304498269,0.9708881199538638,0.0021000796635277327,11,True
25,0.23962688446044922,0.0038704181620884803,0.02887582778930664,0.0005084728093802389,6,96,85,0,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 85, 'tree__ccp_alpha': 0}",0.9735640138408305,0.9705190311418685,0.9719031141868512,0.9719953863898501,0.0012448200750387057,11,False
170,0.23095202445983887,0.001507686254924334,0.028187354405721027,0.0002875135196327729,3,99,71,0.0003312568665573587,"{'tree__ccp_alpha': 0.0003312568665573587, 'tree__max_depth': 71, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 3}",0.9699653979238755,0.9688581314878892,0.9737024221453288,0.9708419838523645,0.002072533097597826,12,True
77,0.22308548291524252,0.0005034951203433074,0.03019873301188151,0.0027925157812972784,7,91,94,3.557278606050368e-05,"{'tree__ccp_alpha': 3.557278606050368e-05, 'tree__max_depth': 94, 'tree__max_leaf_nodes': 91, 'tree__min_samples_split': 7}",0.9688581314878892,0.9691349480968858,0.9741176470588235,0.9707035755478662,0.0024167567896117795,13,True
431,0.18708260854085287,0.0035217333695465054,0.02503347396850586,0.0067427611386865795,8,100,44,2.2769866262548966e-05,"{'tree__ccp_alpha': 2.2769866262548966e-05, 'tree__max_depth': 44, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 8}",0.9692733564013841,0.9681660899653979,0.9743944636678201,0.9706113033448673,0.0027130224549922624,14,True
24,0.19953672091166177,0.004064824556185255,0.02945288022359212,0.0015685664963036364,4,92,51,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 92, 'tree__max_depth': 51, 'tree__ccp_alpha': 0}",0.9735640138408305,0.9701038062283737,0.9721799307958477,0.9719492502883506,0.0014220101506272366,14,False
314,0.221480925877889,0.001074737524746534,0.027959744135538738,6.61190312211082e-05,3,86,87,0.00013153015405154697,"{'tree__ccp_alpha': 0.00013153015405154697, 'tree__max_depth': 87, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 3}",0.9699653979238755,0.9688581314878892,0.9721799307958477,0.9703344867358709,0.0013810038797781614,15,True
296,0.2091977596282959,0.0026799410450330983,0.033190409342447914,0.0008404425994298099,8,90,54,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 90, 'tree__max_depth': 54, 'tree__ccp_alpha': 0}",0.9738408304498269,0.9698269896193772,0.9720415224913495,0.9719031141868513,0.001641563725458535,15,False
67,0.19176054000854492,0.002682770860954466,0.027645985285441082,0.000675620380020877,6,97,49,0,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 97, 'tree__max_depth': 49, 'tree__ccp_alpha': 0}",0.9731487889273357,0.9699653979238755,0.9724567474048443,0.9718569780853518,0.0013670618122287482,16,False
289,0.22181574503580728,0.0299005178548918,0.033064842224121094,0.007217620174035935,3,90,51,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 90, 'tree__max_depth': 51, 'tree__ccp_alpha': 0}",0.9738408304498269,0.9694117647058823,0.972318339100346,0.9718569780853518,0.0018373525030440545,16,False
114,0.2090922991434733,0.0015399599223942593,0.027418772379557293,0.0005849084451251795,4,82,75,7.728748199148306e-05,"{'tree__ccp_alpha': 7.728748199148306e-05, 'tree__max_depth': 75, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 4}",0.9699653979238755,0.9689965397923875,0.971764705882353,0.9702422145328721,0.0011469252959313684,16,True
311,0.19177508354187012,0.001339779708100892,0.027956167856852215,0.0004237642074528339,2,96,49,0.0002718390412690128,"{'tree__ccp_alpha': 0.0002718390412690128, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 2}",0.9683044982698962,0.9684429065743945,0.9739792387543252,0.9702422145328718,0.002643079231815911,17,True
205,0.2111662228902181,0.012740243583915845,0.03018077214558919,0.0013621051490384218,3,83,81,0.0002902486244737388,"{'tree__ccp_alpha': 0.0002902486244737388, 'tree__max_depth': 81, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 3}",0.9698269896193772,0.9688581314878892,0.9719031141868512,0.9701960784313726,0.0012702099098441564,18,True
401,0.23194305102030435,0.0016211070245525903,0.02809882164001465,0.004058360483869243,10,94,93,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 94, 'tree__max_depth': 93, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9701038062283737,0.9719031141868512,0.9718108419838524,0.0013576875635120905,18,False
406,0.23213775952657065,0.005734753849892397,0.026794989903767902,0.0030668710543736966,9,98,72,0,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 72, 'tree__ccp_alpha': 0}",0.9742560553633218,0.9696885813148789,0.9714878892733564,0.9718108419838524,0.0018785949777626264,18,False
450,0.2059183120727539,0.003966252791747801,0.03277111053466797,0.0021511751568041504,5,82,75,3.1265049985016995e-06,"{'tree__ccp_alpha': 3.1265049985016995e-06, 'tree__max_depth': 75, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 5}",0.9698269896193772,0.9688581314878892,0.971764705882353,0.9701499423298731,0.001208378394805911,19,True
341,0.18576908111572266,0.0006745268225253853,0.027280886967976887,0.0004233703704146383,10,86,47,0.00015668813631240645,"{'tree__ccp_alpha': 0.00015668813631240645, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 10}",0.9676124567474048,0.9680276816608997,0.9745328719723183,0.9700576701268743,0.0031689826548695365,20,True
488,0.2445255915323893,0.011401230535157784,0.029304663340250652,0.0022160650201632414,4,94,80,0,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 94, 'tree__max_depth': 80, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9698269896193772,0.9719031141868512,0.9717185697808536,0.0014749127901403094,20,False
334,0.21600778897603354,0.0032074331160878516,0.0292356014251709,0.0006825097357443685,6,82,73,1.3403295529123955e-06,"{'tree__ccp_alpha': 1.3403295529123955e-06, 'tree__max_depth': 73, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 6}",0.9695501730103806,0.9689965397923875,0.9716262975778547,0.9700576701268743,0.0011319810054334866,20,True
338,0.22531660397847494,0.004020122816225566,0.028748114903767902,0.00480959585908838,9,88,59,0,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 88, 'tree__max_depth': 59, 'tree__ccp_alpha': 0}",0.9730103806228374,0.9699653979238755,0.9720415224913495,0.9716724336793542,0.0012702099098441564,21,False
219,0.20216933886210123,0.0028058296961647497,0.029004812240600586,0.0004918780802545712,3,85,52,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 85, 'tree__max_depth': 52, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9695501730103806,0.9720415224913495,0.9716724336793541,0.0016035199259038359,22,False
386,0.19031182924906412,0.0014084824009335264,0.02791484196980794,0.0006476725822364633,7,76,50,0.0001569224835760941,"{'tree__ccp_alpha': 0.0001569224835760941, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 76, 'tree__min_samples_split': 7}",0.9683044982698962,0.9684429065743945,0.9732871972318339,0.9700115340253749,0.002316932785142267,22,True
151,0.20073040326436362,0.0017155293436100752,0.0279389222462972,0.0002319625587965848,6,77,67,0.00017528483731921486,"{'tree__ccp_alpha': 0.00017528483731921486, 'tree__max_depth': 67, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 6}",0.9694117647058823,0.9687197231833911,0.971764705882353,0.9699653979238754,0.0013032938308489587,23,True
134,0.19717852274576822,0.005592347900171859,0.029082377751668293,0.004617875210588055,7,83,50,0,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 83, 'tree__max_depth': 50, 'tree__ccp_alpha': 0}",0.9728719723183391,0.9694117647058823,0.9721799307958477,0.9714878892733564,0.001494980553265965,23,False
478,0.2144185702006022,0.0037381675822539826,0.02905901273091634,0.0017066848597153197,2,87,62,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 87, 'tree__max_depth': 62, 'tree__ccp_alpha': 0}",0.9725951557093425,0.9695501730103806,0.9720415224913495,0.9713956170703574,0.0013243552566927102,24,False
218,0.21423077583312988,0.01037257814128815,0.03168050448099772,0.0014451504067459322,4,80,58,7.669892654734241e-06,"{'tree__ccp_alpha': 7.669892654734241e-06, 'tree__max_depth': 58, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 4}",0.9696885813148789,0.9688581314878892,0.9712110726643599,0.9699192618223759,0.0009743350441496465,24,True
110,0.2376875082651774,0.005106038389586371,0.02587779362996419,0.004754529899539843,2,91,75,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 75, 'tree__ccp_alpha': 0}",0.9716262975778547,0.970242214532872,0.9721799307958477,0.9713494809688581,0.0008149260314950773,25,False
490,0.25857090950012207,0.03355622989115739,0.04406102498372396,0.005509232512397392,5,91,80,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 80, 'tree__ccp_alpha': 0}",0.9716262975778547,0.970242214532872,0.9721799307958477,0.9713494809688581,0.0008149260314950773,25,False
495,0.2312309741973877,0.0034941782543787855,0.029582977294921875,0.0010007904351435359,2,91,97,0,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 97, 'tree__ccp_alpha': 0}",0.9716262975778547,0.970242214532872,0.9721799307958477,0.9713494809688581,0.0008149260314950773,25,False
178,0.19509474436442056,0.0037294453443164496,0.027430057525634766,0.005524010550639866,8,81,51,0,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 81, 'tree__max_depth': 51, 'tree__ccp_alpha': 0}",0.9728719723183391,0.9694117647058823,0.971764705882353,0.9713494809688581,0.0014428139119826691,25,False
202,0.188413937886556,0.003178417494801629,0.028943777084350586,0.00034197342368575437,5,82,48,0,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 82, 'tree__max_depth': 48, 'tree__ccp_alpha': 0}",0.9730103806228374,0.9691349480968858,0.9719031141868512,0.9713494809688581,0.001629852062990142,25,False
144,0.19891905784606934,0.0010604823200192574,0.026841243108113606,8.602502979313147e-05,8,76,96,0.00025856043969643087,"{'tree__ccp_alpha': 0.00025856043969643087, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 76, 'tree__min_samples_split': 8}",0.9692733564013841,0.9687197231833911,0.9710726643598616,0.969688581314879,0.0010044540280081651,25,True
393,0.1982874075571696,0.0005152675918970171,0.0283511479695638,0.000504163858276563,4,75,85,4.8057371768298684e-06,"{'tree__ccp_alpha': 4.8057371768298684e-06, 'tree__max_depth': 85, 'tree__max_leaf_nodes': 75, 'tree__min_samples_split': 4}",0.9691349480968858,0.9687197231833911,0.9712110726643599,0.9696885813148789,0.001089828079448005,26,True
290,0.18775304158528647,0.001175882773986998,0.028056859970092773,0.0003108410208043669,3,83,48,0.0002904815373368909,"{'tree__ccp_alpha': 0.0002904815373368909, 'tree__max_depth': 48, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 3}",0.9674740484429065,0.9678892733564014,0.9734256055363322,0.9695963091118799,0.0027130224549922386,27,True
260,0.1778720219930013,0.00831739943638312,0.02781359354654948,0.008632355672695215,8,76,47,3.656324845112953e-06,"{'tree__ccp_alpha': 3.656324845112953e-06, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 76, 'tree__min_samples_split': 8}",0.9670588235294117,0.9673356401384083,0.9739792387543252,0.9694579008073818,0.0031990654345300383,28,True
66,0.207960844039917,0.004144223225548995,0.028366963068644207,0.0038937918226256466,2,75,97,3.2258120703457864e-05,"{'tree__ccp_alpha': 3.2258120703457864e-05, 'tree__max_depth': 97, 'tree__max_leaf_nodes': 75, 'tree__min_samples_split': 2}",0.9691349480968858,0.9683044982698962,0.970795847750865,0.9694117647058823,0.001035752909833611,29,True
249,0.19328689575195312,0.003208852907760499,0.02433951695760091,0.002578857910945807,3,85,48,0,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 85, 'tree__max_depth': 48, 'tree__ccp_alpha': 0}",0.9728719723183391,0.9691349480968858,0.9719031141868512,0.9713033448673588,0.00158348348804894,30,False
253,0.1782379945119222,0.0026145843666771137,0.03146815299987793,0.00014588658621725792,5,100,42,6.582261597678986e-05,"{'tree__ccp_alpha': 6.582261597678986e-05, 'tree__max_depth': 42, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 5}",0.9676124567474048,0.9662283737024221,0.9737024221453288,0.9691810841983853,0.003246618147314306,30,True
120,0.2045434315999349,0.008391920345792222,0.029095252354939777,0.0010049101922291073,8,95,50,0.0003932311188844772,"{'tree__ccp_alpha': 0.0003932311188844772, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 8}",0.9680276816608997,0.9680276816608997,0.9713494809688581,0.9691349480968858,0.001565911210932108,31,True
185,0.1855775515238444,0.005029593530517323,0.0257262388865153,0.004827948975715075,10,80,48,0,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 80, 'tree__max_depth': 48, 'tree__ccp_alpha': 0}",0.9725951557093425,0.9694117647058823,0.9719031141868512,0.9713033448673586,0.0013670618122287482,31,False
