,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
3,0.21302032470703125,0.00816115204138782,0.031583547592163086,0.00045561896513172224,0,84,89,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 89, 'tree__max_depth': 84, 'tree__ccp_alpha': 0}",0.970242214532872,0.9685813148788928,0.9756401384083045,0.9714878892733565,0.003013362084024546,1,True
3,0.21225531895955405,0.005368665745372417,0.0224001407623291,0.006420407638422054,4.16088973478309e-05,59,84,2,"{'tree__ccp_alpha': 4.16088973478309e-05, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 2}",0.9691349480968858,0.971764705882353,0.971764705882353,0.9708881199538638,0.0012396797086546248,1,False
4,0.20885515213012695,0.009143319834468838,0.02656277020772298,0.008964971404104596,0.0001987289053946281,80,82,10,"{'tree__ccp_alpha': 0.0001987289053946281, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 10}",0.9681660899653979,0.9712110726643599,0.9712110726643599,0.9701960784313726,0.0014354186100211774,2,False
8,0.21220636367797852,0.005743919192966545,0.02978968620300293,0.001272672970839996,0,83,87,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 87, 'tree__max_depth': 83, 'tree__ccp_alpha': 0}",0.9699653979238755,0.9684429065743945,0.9755017301038063,0.9713033448673588,0.0030330758779965146,2,True
9,0.17867048581441244,0.004564870702743365,0.029283841451009113,0.0012486786894540774,0,45,89,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 89, 'tree__max_depth': 45, 'tree__ccp_alpha': 0}",0.9677508650519031,0.9665051903114187,0.9735640138408305,0.9692733564013841,0.003076278307390026,3,True
8,0.16464718182881674,0.006927362600523211,0.020853360493977863,0.0073655270557539485,7.531919511642193e-06,43,61,7,"{'tree__ccp_alpha': 7.531919511642193e-06, 'tree__max_depth': 43, 'tree__max_leaf_nodes': 61, 'tree__min_samples_split': 7}",0.9634602076124568,0.96719723183391,0.9653979238754326,0.9653517877739332,0.0015259825059784256,3,False
5,0.17029444376627603,0.003029349539230301,0.03141315778096517,0.00023023436963587126,0,43,81,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 81, 'tree__max_depth': 43, 'tree__ccp_alpha': 0}",0.9658131487889273,0.9652595155709343,0.9725951557093425,0.9678892733564014,0.0033352285253845856,4,True
9,0.1667210261027018,0.006858564138457285,0.026430765787760418,0.005743285510352836,0.0005865443441191318,90,52,9,"{'tree__ccp_alpha': 0.0005865443441191318, 'tree__max_depth': 90, 'tree__max_leaf_nodes': 52, 'tree__min_samples_split': 9}",0.9613840830449827,0.9649826989619377,0.9616608996539793,0.9626758938869665,0.0016350676029221749,4,False
6,0.15723172823588052,0.0023651478936267687,0.032216787338256836,0.0013564919431239496,8.202479111016796e-06,65,47,10,"{'tree__ccp_alpha': 8.202479111016796e-06, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 47, 'tree__min_samples_split': 10}",0.9586159169550174,0.9616608996539793,0.9595847750865052,0.9599538638985007,0.0012702099098441672,5,False
1,0.17003917694091797,0.0033852408557869394,0.031802972157796226,0.0006546935497119325,0,92,59,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 59, 'tree__max_depth': 92, 'tree__ccp_alpha': 0}",0.9653979238754326,0.9635986159169551,0.970795847750865,0.9665974625144176,0.003058235463746509,5,True
7,0.1507718563079834,0.007426826742884643,0.02553216616312663,0.007037450370818974,0,96,42,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 42, 'tree__max_depth': 96, 'tree__ccp_alpha': 0}",0.9529411764705882,0.9577854671280277,0.9606920415224913,0.9571395617070357,0.0031970687223198155,6,True
0,0.13656282424926758,0.00676962079638517,0.0211029847462972,0.006120670969005099,1.1080100786760554e-05,88,32,4,"{'tree__ccp_alpha': 1.1080100786760554e-05, 'tree__max_depth': 88, 'tree__max_leaf_nodes': 32, 'tree__min_samples_split': 4}",0.9507266435986159,0.951833910034602,0.9500346020761246,0.9508650519031141,0.0007410555203787237,6,False
1,0.11922097206115723,0.009843383437603142,0.030604203542073567,0.0026309510573196,0.03694002451317344,18,73,7,"{'tree__ccp_alpha': 0.03694002451317344, 'tree__max_depth': 18, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 7}",0.7941868512110727,0.7932179930795847,0.7893425605536332,0.7922491349480968,0.0020929727745723444,7,False
6,0.08437180519104004,0.007000246454475313,0.026429017384847004,0.005409246401954949,0,55,11,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 11, 'tree__max_depth': 55, 'tree__ccp_alpha': 0}",0.8804152249134948,0.8849826989619377,0.8881660899653979,0.8845213379469435,0.003181049905594144,7,True
5,0.07857696215311687,0.0003222733329975404,0.02179725964864095,0.006822109795484709,0.9687473478607405,49,5,6,"{'tree__ccp_alpha': 0.9687473478607405, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 5, 'tree__min_samples_split': 6}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,8,False
2,0.09213320414225261,0.004120799102088363,0.027610381444295246,0.007795111250369941,0,9,84,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 84, 'tree__max_depth': 9, 'tree__ccp_alpha': 0}",0.8703114186851211,0.8726643598615917,0.8780622837370242,0.873679354094579,0.0032446506985037635,8,True
2,0.12041886647542317,0.00607514451220214,0.02509649594624837,0.006647623307564764,0.7587539406941609,34,22,5,"{'tree__ccp_alpha': 0.7587539406941609, 'tree__max_depth': 34, 'tree__max_leaf_nodes': 22, 'tree__min_samples_split': 5}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,8,False
7,0.13882819811503092,0.0034089750225627415,0.03169409434000651,0.00039430571265399605,2.2949345464872537,32,51,9,"{'tree__ccp_alpha': 2.2949345464872537, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 51, 'tree__min_samples_split': 9}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,8,False
0,0.07755875587463379,0.001296321272680698,0.027009089787801106,0.006002274448640013,0,5,72,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 72, 'tree__max_depth': 5, 'tree__ccp_alpha': 0}",0.7905882352941176,0.7925259515570934,0.7990311418685121,0.7940484429065743,0.003611015811644677,9,True
4,0.05523276329040527,0.006724248699455449,0.02865886688232422,0.005031870697768018,0,9,2,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 2, 'tree__max_depth': 9, 'tree__ccp_alpha': 0}",0.5259515570934256,0.5262283737024221,0.5258131487889274,0.525997693194925,0.00017262548497226028,10,True
