,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
24,0.21670897801717123,0.005034271660453994,0.03164466222127279,0.003016693648323927,4.382560177943341e-05,91,90,8,"{'tree__ccp_alpha': 4.382560177943341e-05, 'tree__max_depth': 91, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 8}",0.9709342560553633,0.9710726643598616,0.9703806228373703,0.970795847750865,0.0002989961106531896,1,False
4,0.18903795878092447,0.004580196557843216,0.023867448170979817,0.0057928167818789384,0,47,79,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 79, 'tree__max_depth': 47, 'tree__ccp_alpha': 0}",0.9692733564013841,0.9673356401384083,0.9703806228373703,0.9689965397923875,0.0012584250700794263,1,True
21,0.20957477887471518,0.020477026098067154,0.037975311279296875,0.009643444513767856,0,41,80,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 80, 'tree__max_depth': 41, 'tree__ccp_alpha': 0}",0.9669204152249135,0.9648442906574395,0.9681660899653979,0.9666435986159169,0.0013701723095655926,2,True
18,0.19705963134765625,0.006844133646779764,0.03147768974304199,0.0007639699423827837,1.089030659296001e-05,52,92,7,"{'tree__ccp_alpha': 1.089030659296001e-05, 'tree__max_depth': 52, 'tree__max_leaf_nodes': 92, 'tree__min_samples_split': 7}",0.9698269896193772,0.970242214532872,0.9710726643598616,0.9703806228373703,0.0005178764549168105,2,False
24,0.19601058959960938,0.002175650264165342,0.029440879821777344,0.00038713691076897727,0,63,69,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 69, 'tree__max_depth': 63, 'tree__ccp_alpha': 0}",0.9660899653979239,0.9655363321799308,0.9681660899653979,0.9665974625144176,0.0011319810054334352,3,True
1,0.19096151987711588,0.004178352136999682,0.02633245786031087,0.007264650339576579,0.00032151528672072504,67,69,8,"{'tree__ccp_alpha': 0.00032151528672072504, 'tree__max_depth': 67, 'tree__max_leaf_nodes': 69, 'tree__min_samples_split': 8}",0.965674740484429,0.9667820069204153,0.9677508650519031,0.9667358708189159,0.0008482019059215937,3,False
13,0.17620174090067545,0.008109989670367706,0.023199717203776043,0.00638885312085829,1.3135975645309223e-05,96,57,5,"{'tree__ccp_alpha': 1.3135975645309223e-05, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 5}",0.9630449826989619,0.9647058823529412,0.96719723183391,0.9649826989619377,0.0017064121807526817,4,False
18,0.19452794392903647,0.0010482350110862144,0.02886676788330078,0.0008141412546633082,0,53,69,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 69, 'tree__max_depth': 53, 'tree__ccp_alpha': 0}",0.9660899653979239,0.9653979238754326,0.9681660899653979,0.9665513264129181,0.0011762444091332508,4,True
11,0.15313545862833658,0.00921346523301887,0.026044209798177082,0.00736563947307448,0.0008742760466376081,32,81,9,"{'tree__ccp_alpha': 0.0008742760466376081, 'tree__max_depth': 32, 'tree__max_leaf_nodes': 81, 'tree__min_samples_split': 9}",0.9546020761245675,0.9576470588235294,0.9604152249134948,0.9575547866205305,0.0023741047898996363,5,False
23,0.19721380869547525,0.0025158203241152227,0.0294953187306722,0.001191083883719445,0,99,65,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 65, 'tree__max_depth': 99, 'tree__ccp_alpha': 0}",0.9660899653979239,0.9647058823529412,0.9676124567474048,0.9661361014994233,0.0011870523949497952,5,True
8,0.14278777440388998,0.0030648626418243053,0.026061058044433594,0.007378759257542103,7.070169303567449e-06,56,37,2,"{'tree__ccp_alpha': 7.070169303567449e-06, 'tree__max_depth': 56, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 2}",0.9519723183391003,0.9554325259515571,0.9573702422145328,0.9549250288350635,0.0022327203935525322,6,False
15,0.16482830047607422,0.0067393183670410965,0.027312040328979492,0.00835755328830161,0,36,96,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 36, 'tree__ccp_alpha': 0}",0.9670588235294117,0.9627681660899654,0.9678892733564014,0.9659054209919261,0.002244131304639503,6,True
14,0.15845100084940592,0.0028891647579598473,0.03125270207722982,2.2813002418529706e-06,0.00205378383580864,37,66,6,"{'tree__ccp_alpha': 0.00205378383580864, 'tree__max_depth': 37, 'tree__max_leaf_nodes': 66, 'tree__min_samples_split': 6}",0.9474048442906574,0.9475432525951557,0.9508650519031142,0.9486043829296423,0.0015995327172650454,7,False
5,0.16482416788736978,0.003466551866052578,0.024794260660807293,0.004195259803244547,0,37,65,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 65, 'tree__max_depth': 37, 'tree__ccp_alpha': 0}",0.9669204152249135,0.9623529411764706,0.9655363321799308,0.9649365628604384,0.0019122843622664258,7,True
0,0.16107257207234701,0.006265414314504053,0.028736591339111328,0.00074738357015522,0,81,48,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 48, 'tree__max_depth': 81, 'tree__ccp_alpha': 0}",0.9594463667820069,0.9593079584775086,0.9631833910034602,0.9606459054209919,0.0017951627643223748,8,True
16,0.11904080708821614,0.006898194861674931,0.03125286102294922,1.8570139321562326e-06,9.059456412308141e-05,48,25,9,"{'tree__ccp_alpha': 9.059456412308141e-05, 'tree__max_depth': 48, 'tree__max_leaf_nodes': 25, 'tree__min_samples_split': 9}",0.9413148788927336,0.9432525951557094,0.9458823529411765,0.9434832756632064,0.0018717843391096573,8,False
1,0.15182073911031088,0.003983309870007245,0.025520483652750652,0.0019386106794828828,0,90,41,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 41, 'tree__max_depth': 90, 'tree__ccp_alpha': 0}",0.9582006920415225,0.9550173010380623,0.96,0.9577393310265282,0.002060171954949579,9,True
22,0.1378188133239746,0.01672116963978724,0.03125349680582682,4.288589974477145e-06,5.268393743192308e-05,70,24,10,"{'tree__ccp_alpha': 5.268393743192308e-05, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 24, 'tree__min_samples_split': 10}",0.9400692041522491,0.9418685121107266,0.9443598615916955,0.9420991926182237,0.0017592319229469452,9,False
