,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
1,0.23767654101053873,0.0017137126042834812,0.028884410858154297,0.0003965428285367688,0,75,99,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 75, 'tree__ccp_alpha': 0}",0.9735640138408305,0.9719031141868512,0.9691349480968858,0.9715340253748558,0.0018268964127541672,1,True
135,0.23806158701578775,0.0008358134622144297,0.02838023503621419,0.00019288650818618576,1.5893200969257984e-05,66,100,7,"{'tree__ccp_alpha': 1.5893200969257984e-05, 'tree__max_depth': 66, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 7}",0.972318339100346,0.9714878892733564,0.9695501730103806,0.971118800461361,0.0011598436069182655,1,False
123,0.2207671801249186,0.0014229104217423104,0.028893152872721355,0.00030963199334057737,4.900391827585183e-05,61,94,7,"{'tree__ccp_alpha': 4.900391827585183e-05, 'tree__max_depth': 61, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 7}",0.9716262975778547,0.9714878892733564,0.9692733564013841,0.970795847750865,0.0010780458081243562,2,False
132,0.23714152971903482,0.004774654153066944,0.028588612874348957,0.0005514703108088257,0.0002729352040994603,100,99,2,"{'tree__ccp_alpha': 0.0002729352040994603, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 2}",0.972318339100346,0.9713494809688581,0.9687197231833911,0.970795847750865,0.0015203928076847832,2,False
107,0.2560354868570964,0.021587484866796854,0.03552103042602539,0.01047030302888606,0,82,100,4,"{'tree__min_samples_split': 4, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 82, 'tree__ccp_alpha': 0}",0.9734256055363322,0.971764705882353,0.9691349480968858,0.971441753171857,0.0017664765600070647,2,True
68,0.23783055941263834,0.003273694832972123,0.029886643091837566,0.0005631943213450355,0,73,96,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 96, 'tree__max_depth': 73, 'tree__ccp_alpha': 0}",0.9735640138408305,0.9716262975778547,0.9689965397923875,0.9713956170703576,0.0018717843391096573,3,True
30,0.23571117719014487,0.0035554368854892678,0.028191248575846355,9.88070439068089e-05,0,98,100,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 98, 'tree__ccp_alpha': 0}",0.9731487889273357,0.971764705882353,0.9691349480968858,0.9713494809688582,0.0016647398895196202,4,True
204,0.19950318336486816,0.0002184550048401061,0.02842823664347331,0.00019451764542048315,2.8799427713970814e-06,53,85,8,"{'tree__ccp_alpha': 2.8799427713970814e-06, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 85, 'tree__min_samples_split': 8}",0.9710726643598616,0.9709342560553633,0.9689965397923875,0.9703344867358709,0.0009477572587854372,4,False
114,0.23206686973571777,0.004543753632985683,0.02819649378458659,0.0006524778602808027,7.509625888469588e-06,85,90,3,"{'tree__ccp_alpha': 7.509625888469588e-06, 'tree__max_depth': 85, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 3}",0.9714878892733564,0.9713494809688581,0.9680276816608997,0.9702883506343714,0.001599532717264993,5,False
77,0.23133587837219238,0.003830385586751077,0.028146664301554363,0.0006460985230262805,2.6237085766623062e-06,80,92,10,"{'tree__ccp_alpha': 2.6237085766623062e-06, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 92, 'tree__min_samples_split': 10}",0.9714878892733564,0.970795847750865,0.9685813148788928,0.9702883506343714,0.0012396797086545945,5,False
