,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha,tree__pruning
14,0.1959520181020101,0.001284252637951545,0.028402407964070637,0.00022611890324001195,4.0761024394478025e-06,50,95,7,"{'tree__ccp_alpha': 4.0761024394478025e-06, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 7}",0.9709342560553633,0.9678892733564014,0.9724567474048443,0.9704267589388698,0.0018988803346949717,1,50,7,95,4.0761024394478025e-06,False
20,0.19492602348327637,0.0007525528518669151,0.02794329325358073,0.00035535067953160567,0,49,95,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 3}",0.9706574394463667,0.9677508650519031,0.9721799307958477,0.9701960784313726,0.0018373525030440452,2,49,3,95,0.0,True
25,0.2097927729288737,0.0013549131485835132,0.028224388758341473,0.00028338548608083014,0,60,86,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 9}",0.9706574394463667,0.9670588235294117,0.9714878892733564,0.9697347174163783,0.0019222760466896982,3,60,9,86,0.0,True
21,0.1914536952972412,0.0030231366586036534,0.027419090270996094,0.00018980045715997758,0,49,83,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 2}",0.9699653979238755,0.9660899653979239,0.970795847750865,0.9689504036908881,0.0020508522049266617,4,49,2,83,0.0,True
28,0.1977065404256185,0.0037175821887966425,0.028045097986857098,0.00012511416113997716,0,94,73,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 94, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 3}",0.9689965397923875,0.9660899653979239,0.9709342560553633,0.9686735870818916,0.0019908142108780846,5,94,3,73,0.0,True
6,0.18535073598225912,0.0023258364893302473,0.027276118596394856,0.0004441020909604408,0,89,65,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 89, 'tree__max_leaf_nodes': 65, 'tree__min_samples_split': 5}",0.9683044982698962,0.9638754325259515,0.9691349480968858,0.9671049596309111,0.0023086497814434805,6,89,5,65,0.0,True
29,0.224458376566569,0.04833649678391237,0.03819084167480469,0.00784709501775095,0,56,65,8,"{'tree__ccp_alpha': 0, 'tree__max_depth': 56, 'tree__max_leaf_nodes': 65, 'tree__min_samples_split': 8}",0.9680276816608997,0.9638754325259515,0.9691349480968858,0.9670126874279124,0.002263962010866973,7,56,8,65,0.0,True
38,0.17815947532653809,0.002889626221548755,0.029644568761189777,0.0012075296117785288,0,45,60,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 45, 'tree__max_leaf_nodes': 60, 'tree__min_samples_split': 5}",0.9677508650519031,0.9622145328719723,0.9680276816608997,0.9659976931949249,0.0026774843143800523,8,45,5,60,0.0,True
31,0.19047307968139648,0.017812017674257934,0.03089443842569987,0.004817923965185142,0,59,56,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 2}",0.9665051903114187,0.9611072664359862,0.9665051903114187,0.9647058823529412,0.0025446057177647145,9,59,2,56,0.0,True
4,0.16243584950764975,0.0022505539619440793,0.028051296869913738,0.00048212742042077664,0,38,64,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 38, 'tree__max_leaf_nodes': 64, 'tree__min_samples_split': 10}",0.9660899653979239,0.9606920415224913,0.9638754325259515,0.9635524798154554,0.002215493832257088,10,38,10,64,0.0,True
23,0.14308087031046549,0.0018147818493574248,0.02803150812784831,0.00034787688201444347,0,31,49,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 31, 'tree__max_leaf_nodes': 49, 'tree__min_samples_split': 5}",0.9619377162629758,0.9570934256055363,0.9597231833910035,0.9595847750865052,0.0019800935394578808,11,31,5,49,0.0,True
26,0.15572420756022134,0.002069856223819514,0.027860482533772785,0.0002002270714627138,0,50,43,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 43, 'tree__min_samples_split': 6}",0.9598615916955018,0.9551557093425606,0.9582006920415225,0.9577393310265282,0.0019486700882992438,12,50,6,43,0.0,True
39,0.14863022168477377,0.0019139795112510095,0.028020381927490234,2.8659856987407943e-05,0,38,40,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 38, 'tree__max_leaf_nodes': 40, 'tree__min_samples_split': 10}",0.9584775086505191,0.9536332179930795,0.9576470588235294,0.9565859284890427,0.002115228306592444,13,38,10,40,0.0,True
0,0.14147822062174478,0.0041914430145667935,0.027930021286010742,0.0005370090805389516,0,26,64,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 26, 'tree__max_leaf_nodes': 64, 'tree__min_samples_split': 6}",0.9587543252595155,0.9526643598615917,0.9562629757785467,0.9558938869665513,0.002499878603763594,14,26,6,64,0.0,True
22,0.14868736267089844,0.0020093157144621377,0.027840375900268555,0.00021871263086584717,0,25,97,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 25, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 3}",0.9580622837370242,0.9505882352941176,0.9558477508650519,0.9548327566320646,0.003134539838793636,15,25,3,97,0.0,True
16,0.12455058097839355,0.001604119333722741,0.027644793192545574,0.0003550894151241164,0,52,25,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 52, 'tree__max_leaf_nodes': 25, 'tree__min_samples_split': 9}",0.9438062283737024,0.94159169550173,0.9433910034602077,0.9429296424452134,0.0009611380233448837,16,52,9,25,0.0,True
12,0.12166404724121094,0.0021078475966888033,0.02770090103149414,0.0002729142667626681,0,58,24,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 58, 'tree__max_leaf_nodes': 24, 'tree__min_samples_split': 5}",0.9417301038062283,0.9404844290657439,0.941038062283737,0.9410841983852364,0.0005095898969867239,17,58,5,24,0.0,True
5,0.11196732521057129,0.0003053143926584944,0.027873675028483074,0.00030895719950756634,0,72,20,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 72, 'tree__max_leaf_nodes': 20, 'tree__min_samples_split': 10}",0.9361937716262976,0.933287197231834,0.9349480968858132,0.934809688581315,0.0011906332549539778,18,72,10,20,0.0,True
35,0.10465884208679199,0.0009660353069893708,0.027333418528238933,0.00047142655959197545,0,16,28,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 16, 'tree__max_leaf_nodes': 28, 'tree__min_samples_split': 4}",0.9353633217993079,0.9303806228373702,0.9342560553633218,0.9333333333333332,0.002136255945151597,19,16,4,28,0.0,True
19,0.11093568801879883,0.004619806864871226,0.030149380366007488,0.003865963674972513,0,75,16,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 75, 'tree__max_leaf_nodes': 16, 'tree__min_samples_split': 6}",0.9242906574394464,0.9237370242214533,0.923598615916955,0.9238754325259516,0.0002989961106531896,20,75,6,16,0.0,True
30,0.15271337827046713,0.01656010269666394,0.0449376106262207,0.004004085040823841,2.8742933102348422e-06,22,15,9,"{'tree__ccp_alpha': 2.8742933102348422e-06, 'tree__max_depth': 22, 'tree__max_leaf_nodes': 15, 'tree__min_samples_split': 9}",0.9224913494809689,0.9215224913494809,0.9215224913494809,0.9218454440599769,0.00045672410318857074,21,22,9,15,2.8742933102348422e-06,False
33,0.11872323354085286,0.017353750310198413,0.0275423526763916,0.0004143955419808476,2.6921291951582893e-05,13,74,8,"{'tree__ccp_alpha': 2.6921291951582893e-05, 'tree__max_depth': 13, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 8}",0.922076124567474,0.9176470588235294,0.9204152249134948,0.9200461361014994,0.0018268964127541745,22,13,8,74,2.6921291951582893e-05,False
18,0.12746151288350424,0.004169290116910369,0.03327171007792155,0.005952687728970167,0.011312532001563349,61,21,3,"{'tree__ccp_alpha': 0.011312532001563349, 'tree__max_depth': 61, 'tree__max_leaf_nodes': 21, 'tree__min_samples_split': 3}",0.9173702422145329,0.9144636678200692,0.9168166089965398,0.9162168396770473,0.0012601153664358036,23,61,3,21,0.011312532001563349,False
15,0.09670702616373698,0.0009109352586420599,0.028027455012003582,0.0003556181458073668,0,70,14,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 14, 'tree__min_samples_split': 10}",0.9173702422145329,0.9144636678200692,0.9168166089965398,0.9162168396770473,0.0012601153664358036,23,70,10,14,0.0,True
11,0.09757105509440105,0.005079012706301099,0.029126803080240887,0.0021726743937717503,0,15,11,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 15, 'tree__max_leaf_nodes': 11, 'tree__min_samples_split': 5}",0.8826297577854672,0.8801384083044983,0.8866435986159169,0.8831372549019608,0.0026798681857360873,25,15,5,11,0.0,True
9,0.07709145545959473,0.002315303047823002,0.027869542439778645,7.239353747667716e-05,0,5,36,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 5, 'tree__max_leaf_nodes': 36, 'tree__min_samples_split': 4}",0.7932179930795847,0.7930795847750866,0.7955709342560554,0.7939561707035755,0.0011432075380266701,26,5,4,36,0.0,True
37,0.16255036989847818,0.0012104858268193763,0.02801823616027832,0.00039373532041076296,0.03317408328109126,38,71,10,"{'tree__ccp_alpha': 0.03317408328109126, 'tree__max_depth': 38, 'tree__max_leaf_nodes': 71, 'tree__min_samples_split': 10}",0.7914186851211072,0.791280276816609,0.7939100346020761,0.7922029988465975,0.0012083783948058898,27,38,10,71,0.03317408328109126,False
36,0.07414579391479492,0.0008593439750742026,0.026955127716064453,6.35575220846206e-05,4.3495286592120616e-05,49,6,3,"{'tree__ccp_alpha': 4.3495286592120616e-05, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 6, 'tree__min_samples_split': 3}",0.7914186851211072,0.791280276816609,0.7939100346020761,0.7922029988465975,0.0012083783948058898,27,49,3,6,4.3495286592120616e-05,False
34,0.07415254910786946,0.00045366648814531034,0.026975472768147785,3.3947285756630176e-05,0,41,6,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 41, 'tree__max_leaf_nodes': 6, 'tree__min_samples_split': 7}",0.7914186851211072,0.791280276816609,0.7939100346020761,0.7922029988465975,0.0012083783948058898,27,41,7,6,0.0,True
10,0.14446846644083658,0.001352131331550544,0.03015756607055664,0.0035488159652923186,0.03540788286396108,29,61,5,"{'tree__ccp_alpha': 0.03540788286396108, 'tree__max_depth': 29, 'tree__max_leaf_nodes': 61, 'tree__min_samples_split': 5}",0.7914186851211072,0.791280276816609,0.7939100346020761,0.7922029988465975,0.0012083783948058898,27,29,5,61,0.03540788286396108,False
32,0.07201782862345378,0.0012464546776217377,0.02716970443725586,0.000620511457032609,0,99,5,6,"{'tree__ccp_alpha': 0, 'tree__max_depth': 99, 'tree__max_leaf_nodes': 5, 'tree__min_samples_split': 6}",0.7552941176470588,0.7521107266435986,0.7583391003460208,0.7552479815455594,0.002542932185378709,31,99,6,5,0.0,True
27,0.17540152867635092,0.0025728779238072333,0.027775923411051433,0.0004233730556870412,0.07726372398626428,46,60,9,"{'tree__ccp_alpha': 0.07726372398626428, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 60, 'tree__min_samples_split': 9}",0.7184775086505191,0.7155709342560553,0.7209688581314879,0.7183391003460207,0.0022058653910739666,32,46,9,60,0.07726372398626428,False
24,0.06676101684570312,0.00010418337218695766,0.028224865595499676,0.0006717724671053975,2.3932708216411555e-05,10,3,9,"{'tree__ccp_alpha': 2.3932708216411555e-05, 'tree__max_depth': 10, 'tree__max_leaf_nodes': 3, 'tree__min_samples_split': 9}",0.6377854671280276,0.6330795847750865,0.6376470588235295,0.6361707035755478,0.0021864813123086938,33,10,9,3,2.3932708216411555e-05,False
8,0.16834251085917154,0.0012552830090075161,0.027307589848836262,0.0004648043152746815,0.3642156857617566,65,53,8,"{'tree__ccp_alpha': 0.3642156857617566, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 53, 'tree__min_samples_split': 8}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,34,65,8,53,0.3642156857617566,False
1,0.13224403063456217,0.0002665895252846339,0.02736488978068034,0.0001733760862195736,0.43817143866239505,76,29,5,"{'tree__ccp_alpha': 0.43817143866239505, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 29, 'tree__min_samples_split': 5}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,34,76,5,29,0.43817143866239505,False
17,0.24725731213887533,0.005480007180283734,0.03792270024617513,0.006661699834782234,1.5465435786847181,78,84,3,"{'tree__ccp_alpha': 1.5465435786847181, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 3}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,34,78,3,84,1.5465435786847181,False
13,0.15183154741923013,0.007448128529027789,0.028571287790934246,0.0015143454840906565,1.5086954080806774,52,37,10,"{'tree__ccp_alpha': 1.5086954080806774, 'tree__max_depth': 52, 'tree__max_leaf_nodes': 37, 'tree__min_samples_split': 10}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,34,52,10,37,1.5086954080806774,False
7,0.17291061083475748,0.002499670264953408,0.027053117752075195,0.0004633789240350877,0.2620765848731605,72,57,8,"{'tree__ccp_alpha': 0.2620765848731605, 'tree__max_depth': 72, 'tree__max_leaf_nodes': 57, 'tree__min_samples_split': 8}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,34,72,8,57,0.2620765848731605,False
