,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
705,0.2214349110921224,0.0055689944750896584,0.025206327438354492,0.006846568031381076,0,64,99,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 7}",0.9688581314878892,0.9746712802768166,0.9705190311418685,0.9713494809688581,0.0024447780944852194,1,64,7,99,0.0
15,0.23871278762817383,0.0063108686051138955,0.015221834182739258,0.0004890335283813455,0,72,100,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 72, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 10}",0.9692733564013841,0.9735640138408305,0.970242214532872,0.9710265282583622,0.0018373525030440454,2,72,10,100,0.0
269,0.23713143666585287,0.009767846398593823,0.024473190307617188,0.005422664451318554,5.716435973373468e-06,78,100,8,"{'tree__ccp_alpha': 5.716435973373468e-06, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 8}",0.9691349480968858,0.9735640138408305,0.970242214532872,0.9709803921568628,0.001881991054613258,3,78,8,100,5.716435973373468e-06
692,0.23422702153523764,0.0019219699400440952,0.026041825612386067,0.007365302267416912,0,80,100,5,"{'tree__ccp_alpha': 0, 'tree__max_depth': 80, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 5}",0.9692733564013841,0.9734256055363322,0.9701038062283737,0.9709342560553633,0.0017939766639191205,4,80,5,100,0.0
316,0.20384295781453451,0.0009001533439407765,0.021742820739746094,0.006779682774872213,9.980926459442928e-06,54,96,4,"{'tree__ccp_alpha': 9.980926459442928e-06, 'tree__max_depth': 54, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 4}",0.9683044982698962,0.9748096885813149,0.9696885813148789,0.9709342560553633,0.002797993854681683,4,54,4,96,9.980926459442928e-06
722,0.2308492660522461,0.004947050211484744,0.03129967053731283,0.0012668067119307584,0,82,99,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 82, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 9}",0.9692733564013841,0.9734256055363322,0.9699653979238755,0.9708881199538638,0.0018163801324133121,6,82,9,99,0.0
957,0.21846596399943033,0.00236752074304874,0.026017109553019207,0.007348560873649992,0,63,96,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 63, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 2}",0.9688581314878892,0.9738408304498269,0.9699653979238755,0.9708881199538638,0.002136255945151581,6,63,2,96,0.0
187,0.20799668629964194,0.004985843720461775,0.03463904062906901,0.005452370075492366,0,63,95,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 63, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 9}",0.9689965397923875,0.9739792387543252,0.9696885813148789,0.9708881199538638,0.0022039346551319294,6,63,9,95,0.0
114,0.22595588366190592,0.004965520885458636,0.020464181900024414,0.007640265232921144,6.906054589227259e-06,65,95,5,"{'tree__ccp_alpha': 6.906054589227259e-06, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 5}",0.9689965397923875,0.9739792387543252,0.9695501730103806,0.9708419838523644,0.0022298585418398255,9,65,5,95,6.906054589227259e-06
709,0.22379048665364584,0.0076632473395077385,0.03125699361165365,9.892376030893463e-06,0,71,98,10,"{'tree__ccp_alpha': 0, 'tree__max_depth': 71, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 10}",0.9692733564013841,0.9732871972318339,0.9698269896193772,0.970795847750865,0.0017760901088738014,10,71,10,98,0.0
115,0.2222740650177002,0.0022375547193600157,0.03405316670735677,0.003518610352961918,0,95,97,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 95, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 7}",0.9691349480968858,0.9734256055363322,0.9698269896193772,0.970795847750865,0.0018808597103242787,10,95,7,97,0.0
813,0.22455716133117676,0.003009621522595856,0.03427735964457194,0.0057132103618226975,0,96,98,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 2}",0.9691349480968858,0.9732871972318339,0.9698269896193772,0.9707497116493657,0.001816380132413312,12,96,2,98,0.0
169,0.22307705879211426,0.004466011618327645,0.03073438008626302,0.0007576879508816959,0.000181671286586587,72,91,6,"{'tree__ccp_alpha': 0.000181671286586587, 'tree__max_depth': 72, 'tree__max_leaf_nodes': 91, 'tree__min_samples_split': 6}",0.9684429065743945,0.9735640138408305,0.9698269896193772,0.9706113033448673,0.0021629911270553276,13,72,6,91,0.000181671286586587
93,0.2169341246287028,0.0034890956352762615,0.03470738728841146,0.002960253547040746,0,84,91,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 84, 'tree__max_leaf_nodes': 91, 'tree__min_samples_split': 9}",0.9684429065743945,0.9735640138408305,0.9698269896193772,0.9706113033448673,0.0021629911270553276,13,84,9,91,0.0
376,0.22788365681966147,0.0017852649085094902,0.028148094813028973,0.00011998501684058113,0,99,92,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 99, 'tree__max_leaf_nodes': 92, 'tree__min_samples_split': 4}",0.9685813148788928,0.9734256055363322,0.9698269896193772,0.9706113033448673,0.002053963486925203,13,99,4,92,0.0
935,0.22812628746032715,0.0072284685987040005,0.027004241943359375,0.006862342917195341,0,97,96,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 97, 'tree__max_leaf_nodes': 96, 'tree__min_samples_split': 9}",0.9689965397923875,0.9732871972318339,0.9695501730103806,0.9706113033448673,0.0019055941340773513,13,97,9,96,0.0
68,0.22429132461547852,0.007136249909071713,0.030887444814046223,0.000511887533368203,0,87,93,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 87, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 7}",0.9684429065743945,0.9732871972318339,0.9699653979238755,0.9705651672433678,0.0020226353141206688,17,87,7,93,0.0
276,0.18859434127807617,0.0009960024722185,0.030481894810994465,0.0005457167550751965,0,50,95,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 4}",0.9677508650519031,0.9745328719723183,0.9694117647058823,0.9705651672433678,0.0028863653646352032,17,50,4,95,0.0
555,0.22493616739908853,0.008200380809468015,0.025092919667561848,0.006782190277799783,2.466252504599949e-06,98,92,6,"{'tree__ccp_alpha': 2.466252504599949e-06, 'tree__max_depth': 98, 'tree__max_leaf_nodes': 92, 'tree__min_samples_split': 6}",0.9684429065743945,0.9734256055363322,0.9698269896193772,0.9705651672433678,0.0021000796635277505,17,98,6,92,2.466252504599949e-06
134,0.22590096791585287,0.0037566695980770985,0.023993253707885742,0.008543232909813315,8.101383775881367e-06,71,94,9,"{'tree__ccp_alpha': 8.101383775881367e-06, 'tree__max_depth': 71, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 9}",0.9687197231833911,0.9734256055363322,0.9695501730103806,0.9705651672433678,0.0020508522049266617,17,71,9,94,8.101383775881367e-06
