,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
39,0.2358278433481852,0.000887487881856036,0.028622150421142578,0.0028059576538520255,3.933008409244576e-05,74,99,3,"{'tree__ccp_alpha': 3.933008409244576e-05, 'tree__max_depth': 74, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 3}",0.9696885813148789,0.9750865051903114,0.9705190311418685,0.9717647058823529,0.002373208055291631,1,False
13,0.2349832852681478,0.003477234233737619,0.03167454401652018,0.0014969411612918441,0,84,100,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 84, 'tree__ccp_alpha': 0}",0.9734256055363322,0.971764705882353,0.9714878892733564,0.9722260668973473,0.0008556972083502328,1,True
413,0.2327293554941813,0.003087638857216113,0.02923901875813802,0.003435650696299213,1.9654020093599003e-06,78,97,5,"{'tree__ccp_alpha': 1.9654020093599003e-06, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 5}",0.9695501730103806,0.9752249134948097,0.970242214532872,0.9716724336793541,0.0025278205364341793,2,False
357,0.23848700523376465,0.006370079646149229,0.03132963180541992,0.0006537386137902263,0,80,100,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 80, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9719031141868512,0.9713494809688581,0.9722260668973471,0.0008777991967908096,2,True
295,0.2281200885772705,0.005379640009164167,0.025903622309366863,0.007288255524297784,0.0001723578682375894,69,98,9,"{'tree__ccp_alpha': 0.0001723578682375894, 'tree__max_depth': 69, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 9}",0.9696885813148789,0.9749480968858132,0.970242214532872,0.9716262975778548,0.002359716143491493,3,False
201,0.2268060048421224,0.007784790429473448,0.031796932220458984,0.002004207526883662,0,71,100,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 71, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9716262975778547,0.9714878892733564,0.9721799307958477,0.0008826355926047962,3,True
166,0.23093533515930176,0.0052717644763631616,0.028545061747233074,0.005141894463593643,0,78,98,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 78, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9720415224913495,0.9710726643598616,0.9721799307958477,0.000965557072039498,3,True
182,0.2349990208943685,0.0030505519233664275,0.02612725893656413,0.007876956920500335,2.124881636454284e-06,90,98,9,"{'tree__ccp_alpha': 2.124881636454284e-06, 'tree__max_depth': 90, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 9}",0.9695501730103806,0.9750865051903114,0.9701038062283737,0.9715801614763553,0.0024896401500774145,4,False
479,0.23381996154785156,0.004076334564557564,0.01780382792154948,0.004256144596917052,9.273134500451139e-06,100,97,10,"{'tree__ccp_alpha': 9.273134500451139e-06, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 10}",0.9695501730103806,0.9752249134948097,0.9699653979238755,0.9715801614763553,0.0025827976936153756,4,False
478,0.23435004552205405,0.001435938835589907,0.030683279037475586,0.0007231771985008906,0,75,97,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 97, 'tree__max_depth': 75, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9719031141868512,0.9705190311418685,0.9719492502883506,0.0011870523949497967,5,True
107,0.24286357561747232,0.006236366032031888,0.016330718994140625,0.000998374547526058,1.299347450124577e-05,77,98,4,"{'tree__ccp_alpha': 1.299347450124577e-05, 'tree__max_depth': 77, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 4}",0.9695501730103806,0.9750865051903114,0.9699653979238755,0.9715340253748558,0.002517695713890123,6,False
