,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
44,0.244230588277181,0.0201502342866218,0.03259436289469401,0.003563676486901741,3.435659807365315e-05,100,93,8,"{'tree__ccp_alpha': 3.435659807365315e-05, 'tree__max_depth': 100, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 8}",0.9714878892733564,0.9724567474048443,0.9699653979238755,0.9713033448673588,0.0010254261024633326,1
64,0.22299790382385254,0.0014338598931772405,0.02790355682373047,0.0004318697057384635,2.707450140023204e-05,70,94,10,"{'tree__ccp_alpha': 2.707450140023204e-05, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 10}",0.9714878892733564,0.9721799307958477,0.9701038062283737,0.9712572087658593,0.0008631274248613607,2
16,0.20125889778137207,0.0017444112649334497,0.027178208033243816,0.0005367303825578212,1.6094416146289838e-06,52,100,5,"{'tree__ccp_alpha': 1.6094416146289838e-06, 'tree__max_depth': 52, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 5}",0.970795847750865,0.9730103806228374,0.9696885813148789,0.9711649365628605,0.0013810038797781711,3
99,0.2195290724436442,0.0013670888939600208,0.02980518341064453,0.0036283037936593278,1.3287259514808967e-06,67,91,7,"{'tree__ccp_alpha': 1.3287259514808967e-06, 'tree__max_depth': 67, 'tree__max_leaf_nodes': 91, 'tree__min_samples_split': 7}",0.9709342560553633,0.9719031141868512,0.9701038062283737,0.9709803921568628,0.0007352884636913061,4
11,0.18576606114705405,0.0023653878986922747,0.027441660563151043,0.00024505025543774465,4.686697168586802e-06,47,97,9,"{'tree__ccp_alpha': 4.686697168586802e-06, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 97, 'tree__min_samples_split': 9}",0.970795847750865,0.9716262975778547,0.970242214532872,0.9708881199538638,0.0005688040602508959,5
80,0.19989490509033203,0.007068316359791953,0.030454476674397785,0.000780622050124403,0.00022467795884615287,87,73,6,"{'tree__ccp_alpha': 0.00022467795884615287, 'tree__max_depth': 87, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 6}",0.9695501730103806,0.9699653979238755,0.9681660899653979,0.9692272202998846,0.0007692425375102091,6
79,0.18253723780314127,0.0070140223576977325,0.026135365168253582,0.007432812529098249,7.291389598917465e-06,48,66,5,"{'tree__ccp_alpha': 7.291389598917465e-06, 'tree__max_depth': 48, 'tree__max_leaf_nodes': 66, 'tree__min_samples_split': 5}",0.9691349480968858,0.9698269896193772,0.9681660899653979,0.9690426758938869,0.0006811913753279834,7
74,0.1995981534322103,0.0011363148260658555,0.028991063435872395,0.0008755183920927732,0.00015243693952099644,67,70,9,"{'tree__ccp_alpha': 0.00015243693952099644, 'tree__max_depth': 67, 'tree__max_leaf_nodes': 70, 'tree__min_samples_split': 9}",0.9695501730103806,0.9695501730103806,0.9673356401384083,0.9688119953863898,0.001043940807288072,8
15,0.19948259989420572,0.005638040216250352,0.029595216115315754,0.0015321423745877714,1.7423757222732002e-06,97,69,2,"{'tree__ccp_alpha': 1.7423757222732002e-06, 'tree__max_depth': 97, 'tree__max_leaf_nodes': 69, 'tree__min_samples_split': 2}",0.9695501730103806,0.9692733564013841,0.96719723183391,0.9686735870818916,0.0010500398317638767,9
14,0.18941124280293783,0.0007491548396518327,0.029706637064615887,0.0024586471299925176,1.8583643336652332e-06,60,65,4,"{'tree__ccp_alpha': 1.8583643336652332e-06, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 65, 'tree__min_samples_split': 4}",0.9691349480968858,0.9691349480968858,0.9669204152249135,0.9683967704728951,0.0010439408072881243,10
36,0.1830619970957438,0.00018088857383450192,0.02859044075012207,0.0010602833326671716,5.561615238548499e-06,70,58,9,"{'tree__ccp_alpha': 5.561615238548499e-06, 'tree__max_depth': 70, 'tree__max_leaf_nodes': 58, 'tree__min_samples_split': 9}",0.9662283737024221,0.9678892733564014,0.9660899653979239,0.9667358708189159,0.0008175338014611103,11
62,0.16878318786621094,0.002706872217443593,0.027844905853271484,0.0002876708293563677,1.908945975203049e-06,62,54,6,"{'tree__ccp_alpha': 1.908945975203049e-06, 'tree__max_depth': 62, 'tree__max_leaf_nodes': 54, 'tree__min_samples_split': 6}",0.9642906574394464,0.9663667820069204,0.9634602076124568,0.9647058823529413,0.0012223890472425846,12
92,0.1703784465789795,0.0007270220555686504,0.031282663345336914,0.0026155043860118187,0.00011559770218348594,61,52,5,"{'tree__ccp_alpha': 0.00011559770218348594, 'tree__max_depth': 61, 'tree__max_leaf_nodes': 52, 'tree__min_samples_split': 5}",0.9627681660899654,0.9649826989619377,0.9622145328719723,0.9633217993079585,0.0011959844426127242,13
