,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
2,0.23407888412475586,0.0036682698437350315,0.02602354685465495,0.007351077266139661,2.3397792295740215e-05,69,95,6,"{'tree__ccp_alpha': 2.3397792295740215e-05, 'tree__max_depth': 69, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 6}",0.9712110726643599,0.9709342560553633,0.9692733564013841,0.970472895040369,0.0008556972083502328,1,False
2,0.22569036483764648,0.006621488299870949,0.0318145751953125,0.0007916864981625254,0,76,99,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 76, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9701038062283737,0.9698269896193772,0.9711188004613609,0.0016350676029221979,1,True
0,0.22980364163716635,0.004947678565666495,0.03559517860412598,0.005796247451024627,0.0003723693250927861,86,87,5,"{'tree__ccp_alpha': 0.0003723693250927861, 'tree__max_depth': 86, 'tree__max_leaf_nodes': 87, 'tree__min_samples_split': 5}",0.9705190311418685,0.9699653979238755,0.9684429065743945,0.9696424452133794,0.0008777991967908096,2,False
25,0.21821673711140951,0.007315427931768355,0.026128212610880535,0.007427646440491313,0,62,94,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 94, 'tree__max_depth': 62, 'tree__ccp_alpha': 0}",0.9732871972318339,0.9698269896193772,0.9688581314878892,0.9706574394463668,0.0019011209022409621,2,True
46,0.20547970136006674,0.0030068143598782765,0.031451145807902016,0.0015494140215462043,0,59,91,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 59, 'tree__ccp_alpha': 0}",0.972318339100346,0.9701038062283737,0.9685813148788928,0.9703344867358709,0.0015343288718169211,3,True
18,0.20529834429423013,0.00303792990497877,0.03125389417012533,9.199648620915593e-07,0,58,95,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 95, 'tree__max_depth': 58, 'tree__ccp_alpha': 0}",0.9732871972318339,0.9699653979238755,0.9677508650519031,0.9703344867358709,0.0022752162410035292,3,True
12,0.22510973612467447,0.011070046089016718,0.020920753479003906,0.007485786073536731,7.73254639831803e-05,65,84,2,"{'tree__ccp_alpha': 7.73254639831803e-05, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 2}",0.9705190311418685,0.9694117647058823,0.9684429065743945,0.9694579008073818,0.0008482019059215937,3,False
17,0.19202693303426108,0.006065950326840162,0.03125262260437012,1.083865300574768e-06,0.00016238525855654152,53,77,9,"{'tree__ccp_alpha': 0.00016238525855654152, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 77, 'tree__min_samples_split': 9}",0.9701038062283737,0.9699653979238755,0.9683044982698962,0.9694579008073818,0.0008175338014611104,3,False
47,0.19524470965067545,0.0060507340053820345,0.020833174387613933,0.007365470854167813,0,53,85,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 85, 'tree__max_depth': 53, 'tree__ccp_alpha': 0}",0.9721799307958477,0.9698269896193772,0.9681660899653979,0.9700576701268743,0.0016467421727866106,5,True
20,0.19298815727233887,0.007647954629952286,0.03139273325602213,0.0002020241048894446,0.00013720549169937279,74,74,3,"{'tree__ccp_alpha': 0.00013720549169937279, 'tree__max_depth': 74, 'tree__max_leaf_nodes': 74, 'tree__min_samples_split': 3}",0.9698269896193772,0.9685813148788928,0.9680276816608997,0.9688119953863898,0.0007524570440738158,5,False
