,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6,0.2126461664835612,0.008630775451044374,0.026044527689615887,0.007365358588627087,1.0891737557400325e-05,62,100,6,"{'tree__ccp_alpha': 1.0891737557400325e-05, 'tree__max_depth': 62, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 6}",0.9728719723183391,0.9701038062283737,0.9705190311418685,0.9711649365628604,0.0012189014822258806,1
8,0.1865511735280355,0.0016089673566266937,0.026278893152872723,0.0075370718801469685,0.00013677756055645917,51,69,7,"{'tree__ccp_alpha': 0.00013677756055645917, 'tree__max_depth': 51, 'tree__max_leaf_nodes': 69, 'tree__min_samples_split': 7}",0.96719723183391,0.9683044982698962,0.9659515570934256,0.9671510957324106,0.0009611380233448394,2
0,0.1945373217264811,0.0066226342862754925,0.025180498758951824,0.006834307508717936,6.592202795119734e-05,71,66,6,"{'tree__ccp_alpha': 6.592202795119734e-05, 'tree__max_depth': 71, 'tree__max_leaf_nodes': 66, 'tree__min_samples_split': 6}",0.96719723183391,0.9684429065743945,0.9653979238754326,0.9670126874279124,0.001249939301881797,3
1,0.15344532330830893,0.006212463692049168,0.02389836311340332,0.006167062120462185,0.0031094631919467114,91,42,2,"{'tree__ccp_alpha': 0.0031094631919467114, 'tree__max_depth': 91, 'tree__max_leaf_nodes': 42, 'tree__min_samples_split': 2}",0.9378546712802768,0.9403460207612456,0.9341176470588235,0.937439446366782,0.0025596182711289804,4
5,0.20574514071146646,0.0029028524333236548,0.03125206629435221,1.4082626618281485e-06,0.13971527795487826,76,84,4,"{'tree__ccp_alpha': 0.13971527795487826, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 4}",0.5262283737024221,0.5260899653979239,0.5255363321799308,0.5259515570934257,0.0002989961106531896,5
2,0.1397388776143392,0.003314987930010578,0.025814215342203777,0.007380501781282311,0.5155809933962368,23,82,2,"{'tree__ccp_alpha': 0.5155809933962368, 'tree__max_depth': 23, 'tree__max_leaf_nodes': 82, 'tree__min_samples_split': 2}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,6
3,0.08890088399251302,0.006855831245577532,0.027017911275227863,0.008142562589315984,0.16054728283904635,9,59,7,"{'tree__ccp_alpha': 0.16054728283904635, 'tree__max_depth': 9, 'tree__max_leaf_nodes': 59, 'tree__min_samples_split': 7}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,6
4,0.15655827522277832,0.0020905028288793768,0.032085021336873375,0.001177189834341026,0.7243516744350239,41,56,3,"{'tree__ccp_alpha': 0.7243516744350239, 'tree__max_depth': 41, 'tree__max_leaf_nodes': 56, 'tree__min_samples_split': 3}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,6
7,0.12081146240234375,0.005922643760139961,0.02725664774576823,0.008356188186989816,2.758460598659143,23,45,6,"{'tree__ccp_alpha': 2.758460598659143, 'tree__max_depth': 23, 'tree__max_leaf_nodes': 45, 'tree__min_samples_split': 6}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,6
9,0.10456395149230957,0.0076472011752302185,0.029155651728312176,0.002963373095026462,7.347201422236666,78,18,10,"{'tree__ccp_alpha': 7.347201422236666, 'tree__max_depth': 78, 'tree__max_leaf_nodes': 18, 'tree__min_samples_split': 10}",0.398477508650519,0.398477508650519,0.39833910034602077,0.3984313725490196,6.524630045549141e-05,6
