,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
3,0.15465760231018066,0.008059938584019256,0.021083275477091473,0.006743402637169958,2.687730915554045e-06,50,44,4,"{'tree__ccp_alpha': 2.687730915554045e-06, 'tree__max_depth': 50, 'tree__max_leaf_nodes': 44, 'tree__min_samples_split': 4}",0.9583391003460208,0.9575086505190311,0.9583391003460208,0.9580622837370242,0.00039147780273305314,1,False
4,0.18844501177469888,0.00040684956731653704,0.02604818344116211,0.007356142354273181,0,49,83,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 83, 'tree__max_depth': 49, 'tree__ccp_alpha': 0}",0.9709342560553633,0.9703806228373703,0.9677508650519031,0.9696885813148789,0.0013886889913072625,1,True
1,0.2205375830332438,0.0003519844432845469,0.036657492319742836,0.0056604902665331885,0.022388024184544695,77,89,9,"{'tree__ccp_alpha': 0.022388024184544695, 'tree__max_depth': 77, 'tree__max_leaf_nodes': 89, 'tree__min_samples_split': 9}",0.8734948096885813,0.8510726643598616,0.8521799307958478,0.8589158016147636,0.010318821542934618,2,False
0,0.1739958922068278,0.008376005306703514,0.023513237635294598,0.0066253339346569835,0,85,53,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 53, 'tree__max_depth': 85, 'tree__ccp_alpha': 0}",0.9648442906574395,0.9619377162629758,0.9622145328719723,0.9629988465974625,0.0013098103406300923,2,True
0,0.07007670402526855,0.006396809455311121,0.026228666305541992,0.007500141110571125,0.022625117329118413,7,6,3,"{'tree__ccp_alpha': 0.022625117329118413, 'tree__max_depth': 7, 'tree__max_leaf_nodes': 6, 'tree__min_samples_split': 3}",0.7995847750865052,0.7864359861591695,0.7914186851211072,0.792479815455594,0.005420157485656784,3,False
2,0.11995689074198405,0.007484055697361204,0.02616143226623535,0.007451993136973761,0,17,88,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 88, 'tree__max_depth': 17, 'tree__ccp_alpha': 0}",0.941038062283737,0.9392387543252595,0.9386851211072664,0.9396539792387543,0.0010044540280081651,3,True
2,0.06796662012736003,0.00607162405908788,0.031734863917032875,0.003919279989180138,1.1420120697177214e-06,20,4,3,"{'tree__ccp_alpha': 1.1420120697177214e-06, 'tree__max_depth': 20, 'tree__max_leaf_nodes': 4, 'tree__min_samples_split': 3}",0.7227681660899654,0.7141868512110726,0.7193079584775086,0.7187543252595155,0.003525112155920314,4,False
1,0.10969400405883789,9.54939083027752e-05,0.03126335144042969,9.44290084594352e-06,0,17,58,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 58, 'tree__max_depth': 17, 'tree__ccp_alpha': 0}",0.9403460207612456,0.9388235294117647,0.9391003460207612,0.9394232987312572,0.0006621776283463384,4,True
4,0.1341127554575602,0.006492105099179566,0.031458775202433266,0.0001896774598504428,0.15125276965398424,65,34,6,"{'tree__ccp_alpha': 0.15125276965398424, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 34, 'tree__min_samples_split': 6}",0.39833910034602077,0.398477508650519,0.398477508650519,0.3984313725490196,6.524630045549141e-05,5,False
3,0.09475302696228027,0.000817558989242438,0.030720949172973633,0.0007481908800902205,0,66,14,3,"{'tree__min_samples_split': 3, 'tree__max_leaf_nodes': 14, 'tree__max_depth': 66, 'tree__ccp_alpha': 0}",0.9161245674740485,0.9162629757785468,0.9176470588235294,0.9166782006920414,0.0006874124302537748,5,True
