,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,tree__max_depth,tree__min_samples_split,tree__max_leaf_nodes,tree__ccp_alpha
144,0.2316733201344808,0.024001377777785816,0.028064250946044922,0.0010559258396073696,0,58,100,2,"{'tree__ccp_alpha': 0, 'tree__max_depth': 58, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 2}",0.9731487889273357,0.970242214532872,0.9724567474048443,0.9719492502883508,0.0012396797086546454,1,58,2,100,0.0
77,0.20042125384012857,0.00110975487529887,0.028377374013264973,0.001769017619177669,1.0032544330092436e-05,53,99,5,"{'tree__ccp_alpha': 1.0032544330092436e-05, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 5}",0.9725951557093425,0.970242214532872,0.9728719723183391,0.9719031141868513,0.0011798580717457356,2,53,5,99,1.0032544330092436e-05
85,0.21052058537801108,0.0013076487181015153,0.028377056121826172,8.145196614520945e-05,1.1669146361618874e-05,57,99,7,"{'tree__ccp_alpha': 1.1669146361618874e-05, 'tree__max_depth': 57, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 7}",0.9728719723183391,0.9705190311418685,0.9721799307958477,0.9718569780853518,0.0009873556889980334,3,57,7,99,1.1669146361618874e-05
10,0.22061967849731445,0.002081608961472911,0.02663882573445638,0.0037872876182978386,0,66,93,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 66, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 9}",0.971764705882353,0.970242214532872,0.9719031141868512,0.9713033448673588,0.0007524570440738202,4,66,9,93,0.0
118,0.27466845512390137,0.026333089500416466,0.036934852600097656,0.002814973508710322,0,79,99,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 7}",0.9720415224913495,0.9696885813148789,0.9720415224913495,0.9712572087658593,0.0011091871077435894,5,79,7,99,0.0
134,0.18778133392333984,0.000275650030023135,0.02796475092569987,6.93854959230004e-05,0,47,95,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 47, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 9}",0.972318339100346,0.9701038062283737,0.9710726643598616,0.9711649365628605,0.0009064305745969537,6,47,9,95,0.0
178,0.23549683888753256,0.006291031725898479,0.030022064844767254,0.005852018036951479,0,76,93,4,"{'tree__ccp_alpha': 0, 'tree__max_depth': 76, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 4}",0.971764705882353,0.9696885813148789,0.9720415224913495,0.9711649365628604,0.001050039831763877,7,76,4,93,0.0
135,0.21504410107930502,0.0029671813949729113,0.02797555923461914,0.0002612141487995004,0,96,87,3,"{'tree__ccp_alpha': 0, 'tree__max_depth': 96, 'tree__max_leaf_nodes': 87, 'tree__min_samples_split': 3}",0.9719031141868512,0.9692733564013841,0.9714878892733564,0.9708881199538638,0.0011543248907216984,8,96,3,87,0.0
75,0.21451735496520996,0.002888390387393096,0.0267334779103597,0.0011398274099558609,0,88,86,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 88, 'tree__max_leaf_nodes': 86, 'tree__min_samples_split': 7}",0.971764705882353,0.9694117647058823,0.9713494809688581,0.9708419838523644,0.0010254261024633643,9,88,7,86,0.0
78,0.1892991860707601,0.0010054450856950554,0.027795791625976562,0.0004885554862928542,0,49,83,7,"{'tree__ccp_alpha': 0, 'tree__max_depth': 49, 'tree__max_leaf_nodes': 83, 'tree__min_samples_split': 7}",0.9709342560553633,0.9703806228373703,0.9712110726643599,0.9708419838523644,0.00034525096994455026,9,49,7,83,0.0
34,0.19945955276489258,0.0031552945898849134,0.04098629951477051,0.002892532411528999,0,54,79,9,"{'tree__ccp_alpha': 0, 'tree__max_depth': 54, 'tree__max_leaf_nodes': 79, 'tree__min_samples_split': 9}",0.9709342560553633,0.9698269896193772,0.9710726643598616,0.9706113033448673,0.000557464635459951,11,54,9,79,0.0
