,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
892,0.23065034548441568,0.009167348152555108,0.031218210856119793,0.002496126023535037,2.112343498288292e-05,68,98,4,"{'tree__ccp_alpha': 2.112343498288292e-05, 'tree__max_depth': 68, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 4}",0.9725951557093425,0.9727335640138408,0.9706574394463667,0.97199538638985,0.0009477572587854372,1
505,0.21733919779459634,0.0019844271155826307,0.026071468989054363,0.006258896367288877,2.6766024592018845e-05,65,95,8,"{'tree__ccp_alpha': 2.6766024592018845e-05, 'tree__max_depth': 65, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 8}",0.9725951557093425,0.9725951557093425,0.9705190311418685,0.9719031141868513,0.0009786945068325544,2
975,0.21218538284301758,0.005443409451778201,0.03977862993876139,0.005251015213940692,5.457903287939659e-05,60,99,9,"{'tree__ccp_alpha': 5.457903287939659e-05, 'tree__max_depth': 60, 'tree__max_leaf_nodes': 99, 'tree__min_samples_split': 9}",0.9728719723183391,0.9720415224913495,0.9706574394463667,0.9718569780853518,0.0009134482063771079,3
980,0.2323919932047526,0.005071485644463477,0.03027176856994629,0.0010502580072694675,0.000186695462749432,77,98,2,"{'tree__ccp_alpha': 0.000186695462749432, 'tree__max_depth': 77, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 2}",0.9724567474048443,0.9725951557093425,0.9705190311418685,0.9718569780853518,0.0009477572587854084,3
714,0.22477984428405762,0.008619556702083739,0.029064178466796875,0.0027688245525870005,4.786341014350194e-05,63,100,3,"{'tree__ccp_alpha': 4.786341014350194e-05, 'tree__max_depth': 63, 'tree__max_leaf_nodes': 100, 'tree__min_samples_split': 3}",0.9724567474048443,0.9720415224913495,0.970795847750865,0.9717647058823529,0.0007057466454799926,5
335,0.2269932428995768,0.00499365716130711,0.020929336547851562,0.007502982002845139,4.235825209387856e-05,66,98,6,"{'tree__ccp_alpha': 4.235825209387856e-05, 'tree__max_depth': 66, 'tree__max_leaf_nodes': 98, 'tree__min_samples_split': 6}",0.9725951557093425,0.972318339100346,0.9703806228373703,0.9717647058823529,0.0009851975319059892,5
214,0.22753445307413736,0.006440126853830599,0.029832204182942707,0.0023358078523203108,4.517806481693204e-06,88,95,6,"{'tree__ccp_alpha': 4.517806481693204e-06, 'tree__max_depth': 88, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 6}",0.9724567474048443,0.972318339100346,0.9703806228373703,0.9717185697808536,0.0009477572587854372,7
587,0.21351130803426108,0.006842696033018014,0.02568666140238444,0.007149584229978025,4.198049292276251e-05,64,95,4,"{'tree__ccp_alpha': 4.198049292276251e-05, 'tree__max_depth': 64, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 4}",0.9725951557093425,0.9721799307958477,0.9703806228373703,0.9717185697808536,0.0009611380233448323,7
911,0.22916531562805176,0.003543431802411144,0.02511310577392578,0.009029547642751339,0.00027995698063917673,87,94,3,"{'tree__ccp_alpha': 0.00027995698063917673, 'tree__max_depth': 87, 'tree__max_leaf_nodes': 94, 'tree__min_samples_split': 3}",0.9724567474048443,0.972318339100346,0.9701038062283737,0.9716262975778548,0.0010780458081244085,9
192,0.2151660919189453,0.0007588467745945459,0.027847448984781902,0.00042452838051986244,3.6667480056205325e-06,94,90,6,"{'tree__ccp_alpha': 3.6667480056205325e-06, 'tree__max_depth': 94, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 6}",0.972318339100346,0.972318339100346,0.9701038062283737,0.9715801614763553,0.0010439408072881243,10
