,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
6,0.2078524430592855,0.005924170408642146,0.02604810396830241,0.007370589099230956,2.2969920052094393e-05,69,80,8,"{'tree__ccp_alpha': 2.2969920052094393e-05, 'tree__max_depth': 69, 'tree__max_leaf_nodes': 80, 'tree__min_samples_split': 8}",0.971764705882353,0.9689965397923875,0.9684429065743945,0.9697347174163783,0.0014531041059306843,1,False
2,0.23534409205118814,0.00042881180857997595,0.020833333333333332,0.00736586423054177,0,70,100,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 100, 'tree__max_depth': 70, 'tree__ccp_alpha': 0}",0.9734256055363322,0.9694117647058823,0.9716262975778547,0.9714878892733564,0.0016415637254585818,1,True
0,0.1895902156829834,0.0026178029353005777,0.024327913920084637,0.0065446506627522705,0.0003535147752141507,74,64,6,"{'tree__ccp_alpha': 0.0003535147752141507, 'tree__max_depth': 74, 'tree__max_leaf_nodes': 64, 'tree__min_samples_split': 6}",0.9684429065743945,0.9673356401384083,0.965674740484429,0.9671510957324106,0.0011376081205017917,2,False
6,0.22210693359375,0.004479226147139499,0.021373430887858074,0.008129846101092034,0,70,89,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 89, 'tree__max_depth': 70, 'tree__ccp_alpha': 0}",0.9730103806228374,0.9683044982698962,0.970795847750865,0.9707035755478661,0.0019222760466897232,2,True
5,0.17001104354858398,0.0036593796031532287,0.020730018615722656,0.007219923737310191,0.00028145447959100904,45,50,7,"{'tree__ccp_alpha': 0.00028145447959100904, 'tree__max_depth': 45, 'tree__max_leaf_nodes': 50, 'tree__min_samples_split': 7}",0.9647058823529412,0.961522491349481,0.9608304498269896,0.9623529411764706,0.0016875978000620011,3,False
0,0.21399243672688803,0.006619936507960773,0.029129584630330402,0.009384836890658076,0,86,91,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 91, 'tree__max_depth': 86, 'tree__ccp_alpha': 0}",0.9728719723183391,0.9683044982698962,0.970795847750865,0.9706574394463668,0.001867230112558078,3,True
4,0.18278121948242188,0.00767548364117212,0.021343390146891277,0.005215425352637418,0.003435215474997925,54,60,5,"{'tree__ccp_alpha': 0.003435215474997925, 'tree__max_depth': 54, 'tree__max_leaf_nodes': 60, 'tree__min_samples_split': 5}",0.9368858131487889,0.9363321799307959,0.935916955017301,0.9363783160322953,0.0003968777516513547,4,False
1,0.18897382418314615,0.0013670005199571294,0.02100054423014323,0.007532912798490903,0,59,72,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 72, 'tree__max_depth': 59, 'tree__ccp_alpha': 0}",0.9710726643598616,0.966643598615917,0.9687197231833911,0.9688119953863898,0.001809335321903352,4,True
2,0.22307475407918295,0.008192178441560085,0.021752675374348957,0.00482556876582998,0.017366815333607354,88,90,7,"{'tree__ccp_alpha': 0.017366815333607354, 'tree__max_depth': 88, 'tree__max_leaf_nodes': 90, 'tree__min_samples_split': 7}",0.9103114186851211,0.9093425605536333,0.9087889273356401,0.9094809688581315,0.0006292125350397294,5,False
8,0.1599714756011963,0.007669850720015566,0.025828838348388672,0.00804874670579329,0,41,55,6,"{'tree__min_samples_split': 6, 'tree__max_leaf_nodes': 55, 'tree__max_depth': 41, 'tree__ccp_alpha': 0}",0.9677508650519031,0.9622145328719723,0.9641522491349481,0.9647058823529412,0.0022938505918626965,5,True
3,0.07389505704243977,0.008056335995228998,0.02035037676493327,0.007738444200150909,0.0002721682001208895,53,5,2,"{'tree__ccp_alpha': 0.0002721682001208895, 'tree__max_depth': 53, 'tree__max_leaf_nodes': 5, 'tree__min_samples_split': 2}",0.7588927335640139,0.7529411764705882,0.7554325259515571,0.7557554786620532,0.0024404209744753502,6,False
4,0.13393108050028482,0.0067409171357003545,0.026940584182739258,0.008061264591701728,0,30,56,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 56, 'tree__max_depth': 30, 'tree__ccp_alpha': 0}",0.9622145328719723,0.9572318339100346,0.9604152249134948,0.9599538638985007,0.002060171954949579,6,True
5,0.13834993044535318,0.0028660099774264567,0.03204782803853353,0.0011284678241273683,0,85,38,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 38, 'tree__max_depth': 85, 'tree__ccp_alpha': 0}",0.9597231833910035,0.9533564013840831,0.9546020761245675,0.9558938869665514,0.002755063183729392,7,True
9,0.21870867411295572,0.0024557805463105474,0.030096928278605144,0.0020267534753782577,0.10353340767300362,84,95,10,"{'tree__ccp_alpha': 0.10353340767300362, 'tree__max_depth': 84, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 10}",0.5260899653979239,0.5260899653979239,0.5258131487889274,0.525997693194925,0.00013049260091098282,7,False
8,0.1278416315714518,0.0026140291393325966,0.02585283915201823,0.007236590674123799,7.975305646701243,20,89,10,"{'tree__ccp_alpha': 7.975305646701243, 'tree__max_depth': 20, 'tree__max_leaf_nodes': 89, 'tree__min_samples_split': 10}",0.398477508650519,0.39833910034602077,0.398477508650519,0.3984313725490196,6.524630045549141e-05,8,False
7,0.14099454879760742,0.00026179756875397515,0.027303616205851238,0.00708268219227748,2.592876941004179,29,64,3,"{'tree__ccp_alpha': 2.592876941004179, 'tree__max_depth': 29, 'tree__max_leaf_nodes': 64, 'tree__min_samples_split': 3}",0.398477508650519,0.39833910034602077,0.398477508650519,0.3984313725490196,6.524630045549141e-05,8,False
1,0.12240314483642578,0.005944452101854263,0.033238887786865234,0.0014253533403640385,0.18382767235370445,18,95,9,"{'tree__ccp_alpha': 0.18382767235370445, 'tree__max_depth': 18, 'tree__max_leaf_nodes': 95, 'tree__min_samples_split': 9}",0.398477508650519,0.39833910034602077,0.398477508650519,0.3984313725490196,6.524630045549141e-05,8,False
7,0.11791356404622395,0.0069235253945375275,0.027120033899943035,0.005840316899297904,0,56,26,2,"{'tree__min_samples_split': 2, 'tree__max_leaf_nodes': 26, 'tree__max_depth': 56, 'tree__ccp_alpha': 0}",0.9501730103806229,0.9417301038062283,0.9462975778546713,0.9460668973471741,0.0034506596449947395,8,True
3,0.09056051572163899,0.004767101930757556,0.03135553995768229,0.00014959321431466655,0,35,13,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 13, 'tree__max_depth': 35, 'tree__ccp_alpha': 0}",0.9150173010380623,0.9061591695501731,0.9083737024221453,0.9098500576701269,0.0037639821092265158,9,True
9,0.0627737045288086,0.00037000371763202877,0.023653586705525715,0.006387386289150152,0,66,2,5,"{'tree__min_samples_split': 5, 'tree__max_leaf_nodes': 2, 'tree__max_depth': 66, 'tree__ccp_alpha': 0}",0.5258131487889274,0.5260899653979239,0.5260899653979239,0.5259976931949251,0.00013049260091098282,10,True
