,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__max_depth,param_tree__max_leaf_nodes,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,param_tree__pruning
38,0.22895018259684244,0.0031098018177451035,0.02832929293314616,7.633871844274631e-05,0,71,98,8,"{'tree__min_samples_split': 8, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 71, 'tree__ccp_alpha': 0}",0.9727335640138408,0.9692733564013841,0.9721799307958477,0.9713956170703576,0.0015175902379144877,1,True
41,0.23148679733276367,0.00171968613410265,0.028430382410685223,0.0005230729873825448,0,71,99,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 71, 'tree__ccp_alpha': 0}",0.9727335640138408,0.9692733564013841,0.9721799307958477,0.9713956170703576,0.0015175902379144877,1,True
7,0.20150971412658691,0.0034224555172172586,0.03240696589152018,0.001636365445279765,4.473727532572535e-05,59,93,6,"{'tree__ccp_alpha': 4.473727532572535e-05, 'tree__max_depth': 59, 'tree__max_leaf_nodes': 93, 'tree__min_samples_split': 6}",0.971764705882353,0.966643598615917,0.9714878892733564,0.9699653979238755,0.0023515838408073135,1,False
88,0.23973862330118814,0.0471744483597485,0.037482659022013344,0.007280957673265582,3.602743268421645e-06,58,87,7,"{'tree__ccp_alpha': 3.602743268421645e-06, 'tree__max_depth': 58, 'tree__max_leaf_nodes': 87, 'tree__min_samples_split': 7}",0.9713494809688581,0.966643598615917,0.9714878892733564,0.9698269896193771,0.002251706452948061,2,False
63,0.20415337880452475,0.0013684113405919827,0.032477617263793945,0.0017315615865469815,5.652792400872715e-06,62,85,5,"{'tree__ccp_alpha': 5.652792400872715e-06, 'tree__max_depth': 62, 'tree__max_leaf_nodes': 85, 'tree__min_samples_split': 5}",0.9705190311418685,0.9665051903114187,0.9710726643598616,0.969365628604383,0.0020352244521442157,3,False
88,0.2017060120900472,0.0014922799527333464,0.028125762939453125,0.000626588066864969,0,55,99,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 99, 'tree__max_depth': 55, 'tree__ccp_alpha': 0}",0.9724567474048443,0.9692733564013841,0.9713494809688581,0.9710265282583622,0.0013195247654971202,3,True
32,0.21169376373291016,0.0013359791550819526,0.027947107950846355,0.00024301815511977804,0,60,98,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 98, 'tree__max_depth': 60, 'tree__ccp_alpha': 0}",0.9728719723183391,0.9692733564013841,0.970795847750865,0.9709803921568628,0.0014749127901403142,4,True
85,0.22208595275878906,0.012782109141263848,0.025358041127522785,0.006921781419340946,0.00014451061389852081,79,84,10,"{'tree__ccp_alpha': 0.00014451061389852081, 'tree__max_depth': 79, 'tree__max_leaf_nodes': 84, 'tree__min_samples_split': 10}",0.9703806228373703,0.9660899653979239,0.9706574394463667,0.9690426758938869,0.002090937798131398,4,False
33,0.22205781936645508,0.0038332116186234793,0.02851279576619466,0.00021657379371109586,0,98,93,10,"{'tree__min_samples_split': 10, 'tree__max_leaf_nodes': 93, 'tree__max_depth': 98, 'tree__ccp_alpha': 0}",0.9719031141868512,0.9683044982698962,0.971764705882353,0.9706574394463668,0.001664739889519608,5,True
77,0.20290629069010416,0.0013445294738825219,0.02700630823771159,0.00813405732963463,3.346677947395182e-05,90,81,3,"{'tree__ccp_alpha': 3.346677947395182e-05, 'tree__max_depth': 90, 'tree__max_leaf_nodes': 81, 'tree__min_samples_split': 3}",0.970242214532872,0.9659515570934256,0.9706574394463667,0.9689504036908881,0.0021272695517228863,5,False
96,0.2224703629811605,0.004663889717011938,0.028287251790364582,0.0008354180963553722,0,99,92,7,"{'tree__min_samples_split': 7, 'tree__max_leaf_nodes': 92, 'tree__max_depth': 99, 'tree__ccp_alpha': 0}",0.9716262975778547,0.9683044982698962,0.971764705882353,0.9705651672433678,0.0015995327172650454,6,True
70,0.2222439448038737,0.002330954417032205,0.0279999574025472,0.000294599598615949,0,74,93,9,"{'tree__min_samples_split': 9, 'tree__max_leaf_nodes': 93, 'tree__max_depth': 74, 'tree__ccp_alpha': 0}",0.971764705882353,0.9683044982698962,0.9716262975778547,0.9705651672433678,0.0015995327172650452,6,True
44,0.17927869160970053,0.006405213079246475,0.02604540189107259,0.007366145206316268,5.006012949370065e-06,46,73,2,"{'tree__ccp_alpha': 5.006012949370065e-06, 'tree__max_depth': 46, 'tree__max_leaf_nodes': 73, 'tree__min_samples_split': 2}",0.9699653979238755,0.9640138408304498,0.970242214532872,0.9680738177623991,0.002873060664717933,6,False
